ticker,year,sigma_E,method,days_used,flag,size_bucket
BCML,2021,0.7411795057742891,daily_252,253,,small
BCML,2022,0.23062534948412095,daily_252,252,,small
BCML,2023,0.2552474366295292,daily_252,251,,small
BFC,2016,,imputed_peer,0,no_daily_data,
BFC,2017,,imputed_peer,0,no_daily_data,
BFC,2018,,imputed_peer,0,no_daily_data,
BFC,2019,0.24332152929237977,imputed_peer,40,no_daily_data,small
BFC,2020,0.35755124364264174,daily_252,252,,small
BFC,2021,0.5552027623751111,daily_252,253,,small
BFC,2022,0.2516229247522431,daily_252,252,,small
BFC,2023,0.22710157085254723,daily_252,251,,small
BFIN,2016,0.18569841639187334,daily_252,252,,
BFIN,2017,0.19286712230588676,daily_252,252,,
BFIN,2018,0.1674013122245939,daily_252,251,,small
BFIN,2019,0.18266839603364038,daily_252,251,,small
BFIN,2020,0.21559834595989363,daily_252,252,,
BFIN,2021,0.6585209963002622,daily_252,253,,
BFIN,2022,0.2595459219184601,daily_252,252,,
BFIN,2023,0.17853117600332025,daily_252,251,,
BFST,2016,,imputed_peer,0,no_daily_data,
BFST,2017,,imputed_peer,0,no_daily_data,
BFST,2018,,imputed_peer,0,no_daily_data,
BFST,2019,0.3219542422929614,daily_252,185,,
BFST,2020,0.2749153520254818,daily_252,252,,
BFST,2021,0.8021158697868437,daily_252,253,,small
BFST,2022,0.3006210752144577,daily_252,252,,small
BFST,2023,0.27742419310003735,daily_252,251,,small
BHB,2016,0.27250061878129367,daily_252,252,,
BHB,2017,0.26535233397263003,daily_252,252,,small
BHB,2018,0.3045286618509912,daily_252,251,,small
BHB,2019,0.2764677951520791,daily_252,251,,small
BHB,2020,0.29784362265291026,daily_252,252,,small
BHB,2021,0.738594973749814,daily_252,253,,small
BHB,2022,0.338646898550271,daily_252,252,,small
BHB,2023,0.3213288296258163,daily_252,251,,small
BHLIP.PK^B11,2016,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2017,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2018,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2019,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2020,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2021,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2022,,imputed_peer,0,no_daily_data,
BHLIP.PK^B11,2023,,imputed_peer,0,no_daily_data,
BKU,2016,0.22449193852051172,daily_252,252,,small
BKU,2017,0.29417771382444696,daily_252,252,,small
BKU,2018,0.23109250766851258,daily_252,251,,small
BKU,2019,0.2493708947948304,daily_252,251,,small
BKU,2020,0.24074801311983834,daily_252,252,,small
BKU,2021,0.8000647714838925,daily_252,253,,small
BKU,2022,0.35742345401059455,daily_252,252,,small
BKU,2023,0.34427145602095144,daily_252,251,,small
BLFY,2016,,imputed_peer,0,no_daily_data,
BLFY,2017,,imputed_peer,0,no_daily_data,
BLFY,2018,,imputed_peer,0,no_daily_data,
BLFY,2019,,imputed_peer,0,no_daily_data,
BLFY,2020,,imputed_peer,0,no_daily_data,
BLFY,2021,,imputed_peer,0,no_daily_data,
BLFY,2022,0.18624834959635017,daily_partial,118,insufficient_days,small
BLFY,2023,0.21324130108359415,daily_252,251,,small
BMRC,2016,0.20227693539132138,daily_252,252,,
BMRC,2017,0.23750259853844966,daily_252,252,,small
BMRC,2018,0.2681826018734529,daily_252,251,,small
BMRC,2019,0.2662754129129087,daily_252,251,,small
BMRC,2020,0.20385957894296558,daily_252,252,,small
BMRC,2021,0.6018184158720171,daily_252,253,,small
BMRC,2022,0.26500346562378674,daily_252,252,,small
BMRC,2023,0.24392144664901946,daily_252,251,,small
BOH,2016,0.20123017178011263,daily_252,252,,small
BOH,2017,0.22058587756324186,daily_252,252,,small
BOH,2018,0.19966227160156316,daily_252,251,,small
BOH,2019,0.18337908508374098,daily_252,251,,small
BOH,2020,0.1849753789266408,daily_252,252,,small
BOH,2021,0.5776544666001724,daily_252,253,,small
BOH,2022,0.2797411872880994,daily_252,252,,small
BOH,2023,0.26070460076892726,daily_252,251,,
BOKF,2016,0.2386607286826258,daily_252,252,,small
BOKF,2017,0.3101078194407364,daily_252,252,,small
BOKF,2018,0.2051723051255104,daily_252,251,,small
BOKF,2019,0.22395266913056622,daily_252,251,,small
BOKF,2020,0.2411737312528518,daily_252,252,,small
BOKF,2021,0.7094339485371219,daily_252,253,,small
BOKF,2022,0.2980978960979943,daily_252,252,,small
BOKF,2023,0.2858073654196821,daily_252,251,,small
BRBS,2016,0.6090513642334237,daily_252,252,,
BRBS,2017,0.448565217808809,daily_252,251,,
BRBS,2018,0.6064460671955266,daily_252,251,,
BRBS,2019,0.45460652006687824,daily_252,251,,
BRBS,2020,0.4304235258040967,daily_252,252,,
BRBS,2021,0.4141933279283645,daily_252,253,,
BRBS,2022,0.2674832687971854,daily_252,252,,small
BRBS,2023,0.22575474949262186,daily_252,251,,small
BRKL.O^I25,2016,0.22162283243424602,daily_252,252,,
BRKL.O^I25,2017,0.2356052728162393,daily_252,252,,
BRKL.O^I25,2018,0.23736157799199828,daily_252,251,,
BRKL.O^I25,2019,0.23057075761472295,daily_252,251,,
BRKL.O^I25,2020,0.20084814470209855,daily_252,252,,
BRKL.O^I25,2021,0.5670181848778896,daily_252,253,,
BRKL.O^I25,2022,0.2768588649428555,daily_252,252,,
BRKL.O^I25,2023,0.24773327298483153,daily_252,251,,
BSRR,2016,0.22707326957383203,daily_252,252,,
BSRR,2017,0.2661294216024236,daily_252,252,,
BSRR,2018,0.26983453994629697,daily_252,251,,small
BSRR,2019,0.22497379139357587,daily_252,251,,small
BSRR,2020,0.23010407791434823,daily_252,252,,
BSRR,2021,0.8002541710465436,daily_252,253,,
BSRR,2022,0.3003627186073514,daily_252,252,,
BSRR,2023,0.2131707728025388,daily_252,251,,
BUSE,2016,0.25221286811017435,daily_252,252,,
BUSE,2017,0.21024573152203643,daily_252,252,,small
BUSE,2018,0.2111818769506974,daily_252,251,,small
BUSE,2019,0.20865293006611516,daily_252,251,,small
BUSE,2020,0.20697846595306887,daily_252,252,,small
BUSE,2021,0.6275256246223233,daily_252,253,,small
BUSE,2022,0.28965206124639503,daily_252,252,,small
BUSE,2023,0.25491928136228276,daily_252,251,,small
BWB,2016,,imputed_peer,0,no_daily_data,
BWB,2017,,imputed_peer,0,no_daily_data,
BWB,2018,,imputed_peer,0,no_daily_data,
BWB,2019,0.24010595402600432,daily_252,201,,
BWB,2020,0.21074012848929452,daily_252,252,,small
BWB,2021,0.5479326819814312,daily_252,253,,small
BWB,2022,0.32072116700573383,daily_252,252,,small
BWB,2023,0.2431945832493158,daily_252,251,,small
BWFG,2016,0.2737879567927568,daily_252,252,,
BWFG,2017,0.17673162333968853,daily_252,252,,
BWFG,2018,0.28162481014555,daily_252,251,,small
BWFG,2019,0.18814037329755223,daily_252,251,,small
BWFG,2020,0.2086680946614298,daily_252,252,,small
BWFG,2021,0.5733640382870648,daily_252,253,,small
BWFG,2022,0.2500648681406323,daily_252,252,,small
BWFG,2023,0.2226036222412751,daily_252,251,,small
BY,2016,,imputed_peer,0,no_daily_data,
BY,2017,,imputed_peer,0,no_daily_data,
BY,2018,0.245226588249759,daily_partial,126,insufficient_days,small
BY,2019,0.24997847789661107,daily_252,251,,small
BY,2020,0.2185387329012893,daily_252,252,,small
BY,2021,0.6798630343168309,daily_252,253,,small
BY,2022,0.3147206924093823,daily_252,252,,
BY,2023,0.256823103443273,daily_252,251,,
CAC,2016,0.21552215821999154,daily_252,252,,
CAC,2017,0.20137659616289527,daily_252,252,,small
CAC,2018,0.24311099486449161,daily_252,251,,small
CAC,2019,0.2270437028320144,daily_252,251,,small
CAC,2020,0.21357129597991178,daily_252,252,,small
CAC,2021,0.5946799432129005,daily_252,253,,small
CAC,2022,0.27185734704640413,daily_252,252,,small
CAC,2023,0.21924844273223154,daily_252,251,,
CADE,2016,0.266794601324186,daily_252,252,,
CADE,2017,0.2951072200766978,daily_252,252,,
CADE,2018,0.24633286341599162,daily_252,251,,
CADE,2019,0.2433195150745384,daily_252,251,,small
CADE,2020,0.2215270967563352,daily_252,252,,small
CADE,2021,0.6467061322800877,daily_252,253,,small
CADE,2022,0.32320203970981204,daily_252,252,,small
CADE,2023,0.3276379415520243,daily_252,251,,
CATY,2016,0.25606780946718605,daily_252,252,,small
CATY,2017,0.26635307471591546,daily_252,252,,small
CATY,2018,0.23586797091966472,daily_252,251,,small
CATY,2019,0.2298332341167659,daily_252,251,,small
CATY,2020,0.22496907342961087,daily_252,252,,small
CATY,2021,0.6418586980783755,daily_252,253,,small
CATY,2022,0.3163501545357775,daily_252,252,,small
CATY,2023,0.29398555819345296,daily_252,251,,small
CBAN,2016,0.26686186069476275,daily_252,250,,
CBAN,2017,0.3078981993410527,daily_252,252,,
CBAN,2018,0.3559344956905157,daily_252,251,,small
CBAN,2019,0.3850531011446373,daily_252,251,,small
CBAN,2020,0.26789188831974275,daily_252,252,,small
CBAN,2021,0.660306300797764,daily_252,253,,small
CBAN,2022,0.2660583304821097,daily_252,252,,small
CBAN,2023,0.21787221086759098,daily_252,251,,
CBFV,2016,0.1716664931921132,daily_252,252,,
CBFV,2017,0.20793887065913147,daily_252,252,,
CBFV,2018,0.2744108009275041,daily_252,251,,small
CBFV,2019,0.24805251689581156,daily_252,251,,small
CBFV,2020,0.21746632997393614,daily_252,252,,small
CBFV,2021,0.48357053437185576,daily_252,253,,small
CBFV,2022,0.24403645477274297,daily_252,252,,small
CBFV,2023,0.2630776161032252,daily_252,251,,small
CBNK,2016,,imputed_peer,0,no_daily_data,
CBNK,2017,,imputed_peer,0,no_daily_data,
CBNK,2018,,imputed_peer,0,no_daily_data,
CBNK,2019,,imputed_peer,65,no_daily_data,
CBNK,2020,0.29675023030148706,daily_252,252,,small
CBNK,2021,0.968112991167838,daily_252,253,,small
CBNK,2022,0.3499412664621776,daily_252,252,,small
CBNK,2023,0.24851058844175875,daily_252,251,,
CBSH,2016,0.19868209342723678,daily_252,252,,small
CBSH,2017,0.2173317241956719,daily_252,252,,small
CBSH,2018,0.18981338243914947,daily_252,251,,small
CBSH,2019,0.19353106750506469,daily_252,251,,small
CBSH,2020,0.185593084507679,daily_252,252,,small
CBSH,2021,0.4930864963078544,daily_252,253,,small
CBSH,2022,0.24126484241332563,daily_252,252,,small
CBSH,2023,0.23135766857168838,daily_252,251,,small
CBU,2016,0.21368917586636263,daily_252,252,,small
CBU,2017,0.22588712606094394,daily_252,252,,small
CBU,2018,0.23394610646896066,daily_252,251,,small
CBU,2019,0.22172531561026193,daily_252,251,,small
CBU,2020,0.20531255743256446,daily_252,252,,small
CBU,2021,0.5090023146968465,daily_252,253,,small
CBU,2022,0.25090505930130685,daily_252,252,,small
CBU,2023,0.23277619913055045,daily_252,251,,small
CCB,2016,,imputed_peer,0,no_daily_data,
CCB,2017,,imputed_peer,0,no_daily_data,
CCB,2018,,imputed_peer,0,no_daily_data,
CCB,2019,0.38747632354080186,daily_partial,114,insufficient_days,
CCB,2020,0.28958118867229193,daily_252,252,,small
CCB,2021,0.9165628114703276,daily_252,253,,small
CCB,2022,0.43542969271113924,daily_252,252,,small
CCB,2023,0.3107300552567362,daily_252,251,,small
CCBG,2016,0.2153119005170198,daily_252,252,,
CCBG,2017,0.2755088008361248,daily_252,252,,small
CCBG,2018,0.3040504626860075,daily_252,251,,small
CCBG,2019,0.26640331685110064,daily_252,251,,small
CCBG,2020,0.24607296572185003,daily_252,252,,small
CCBG,2021,0.6819013384378655,daily_252,253,,small
CCBG,2022,0.31025048689976525,daily_252,252,,small
CCBG,2023,0.24615032190336614,daily_252,251,,small
CCNE,2016,0.20077696454696112,daily_252,252,,
CCNE,2017,0.26356278764523156,daily_252,252,,small
CCNE,2018,0.3009314377580658,daily_252,251,,small
CCNE,2019,0.25421518811589905,daily_252,251,,small
CCNE,2020,0.2571156478437014,daily_252,252,,small
CCNE,2021,0.7045378126426679,daily_252,253,,small
CCNE,2022,0.2954470986218673,daily_252,252,,small
CCNE,2023,0.24627370496015002,daily_252,251,,small
CFFI,2016,0.2267435646869562,daily_252,252,,
CFFI,2017,0.2219864119781903,daily_252,252,,
CFFI,2018,0.21273826091131895,daily_252,251,,small
CFFI,2019,0.27200093342705156,daily_252,251,,small
CFFI,2020,0.3018834649404109,daily_252,252,,small
CFFI,2021,0.6776295611940346,daily_252,253,,small
CFFI,2022,0.2961400172954483,daily_252,252,,small
CFFI,2023,0.2627589280917418,daily_252,251,,
CFG,2016,0.23983765157262002,daily_252,252,,mid
CFG,2017,0.3211867159829733,daily_252,252,,mid
CFG,2018,0.24555239072530413,daily_252,251,,mid
CFG,2019,0.2604232053706957,daily_252,251,,mid
CFG,2020,0.25632969214317164,daily_252,252,,mid
CFG,2021,0.7703544160738605,daily_252,253,,mid
CFG,2022,0.32801179599055197,daily_252,252,,mid
CFG,2023,0.3552111505934061,daily_252,251,,
CFR,2016,0.25883316173416454,daily_252,252,,small
CFR,2017,0.34218413066470754,daily_252,252,,small
CFR,2018,0.23217444743336418,daily_252,251,,small
CFR,2019,0.23013218252028095,daily_252,251,,small
CFR,2020,0.23856785425012078,daily_252,252,,small
CFR,2021,0.6425817588066908,daily_252,253,,small
CFR,2022,0.2791968974971751,daily_252,252,,small
CFR,2023,0.295830753463927,daily_252,251,,
CHCO,2016,0.2177616979385396,daily_252,252,,
CHCO,2017,0.23619717747943877,daily_252,252,,small
