Index,Date,Instrument,Total Return
174,2018,BCML.OQ,NaN
175,2019,BCML.OQ,0.391304348
176,2020,BCML.OQ,-1.515807707
177,2021,BCML.OQ,-33.28935795
178,2022,BCML.OQ,23.66512854
179,2023,BCML.OQ,2.184594179
180,2024,BCML.OQ,26.88463819
181,2013,BFC.OQ,NaN
182,2014,BFC.OQ,NaN
183,2015,BFC.OQ,NaN
184,2016,BFC.OQ,NaN
185,2017,BFC.OQ,NaN
186,2018,BFC.OQ,NaN
187,2019,BFC.OQ,-7.732057416
188,2020,BFC.OQ,46.98842631
189,2021,BFC.OQ,-6.147429464
190,2022,BFC.OQ,13.29311764
191,2023,BFC.OQ,30.01359719
192,2024,BFC.OQ,-5.321775617
193,2013,BFIN.OQ,34.99057412
194,2014,BFIN.OQ,24.02273126
195,2015,BFIN.OQ,30.44633358
196,2016,BFIN.OQ,8.258279327
197,2017,BFIN.OQ,19.34224259
198,2018,BFIN.OQ,5.454592144
199,2019,BFIN.OQ,-0.192808954
200,2020,BFIN.OQ,-9.975974973
201,2021,BFIN.OQ,-29.73039873
202,2022,BFIN.OQ,26.15676732
203,2023,BFIN.OQ,2.638281897
204,2024,BFIN.OQ,2.047766851
205,2013,BFST.OQ,NaN
206,2014,BFST.OQ,NaN
207,2015,BFST.OQ,NaN
208,2016,BFST.OQ,NaN
209,2017,BFST.OQ,NaN
210,2018,BFST.OQ,NaN
211,2019,BFST.OQ,-18.46545496
212,2020,BFST.OQ,4.512728399
213,2021,BFST.OQ,-16.27231339
214,2022,BFST.OQ,41.69057728
215,2023,BFST.OQ,-20.22110273
216,2024,BFST.OQ,14.35092363
217,2013,BHB.A,16.15739455
218,2014,BHB.A,22.98706207
219,2015,BHB.A,24.18424905
220,2016,BHB.A,10.8170938
221,2017,BHB.A,41.9729547
222,2018,BHB.A,-12.05511369
223,2019,BHB.A,-14.59645797
224,2020,BHB.A,17.17176038
225,2021,BHB.A,-7.250261803
226,2022,BHB.A,32.36131148
227,2023,BHB.A,14.73030563
228,2024,BHB.A,-4.44888711
229,2013,BHLIP.PK^B11,
230,2013,BKU.N,14.52404745
231,2014,BKU.N,37.80266325
232,2015,BKU.N,-9.056742602
233,2016,BKU.N,26.75550197
234,2017,BKU.N,7.306255082
235,2018,BKU.N,10.64795813
236,2019,BKU.N,-24.85155448
237,2020,BKU.N,25.23852379
238,2021,BKU.N,-0.905322288
239,2022,BKU.N,24.38672123
240,2023,BKU.N,-17.68866229
241,2024,BKU.N,-0.324570187
242,2013,BLFY.OQ,NaN
243,2014,BLFY.OQ,NaN
244,2015,BLFY.OQ,NaN
245,2016,BLFY.OQ,NaN
246,2017,BLFY.OQ,NaN
247,2018,BLFY.OQ,NaN
248,2019,BLFY.OQ,NaN
249,2020,BLFY.OQ,NaN
250,2021,BLFY.OQ,NaN
251,2022,BLFY.OQ,13.41085272
252,2023,BLFY.OQ,-12.16678059
253,2024,BLFY.OQ,-24.74708171
254,2013,BMRC.OQ,1.518798548
255,2014,BMRC.OQ,17.90352801
256,2015,BMRC.OQ,23.34186617
257,2016,BMRC.OQ,3.370317049
258,2017,BMRC.OQ,33.31392605
259,2018,BMRC.OQ,-0.850488237
260,2019,BMRC.OQ,23.24574752
261,2020,BMRC.OQ,11.31226395
262,2021,BMRC.OQ,-21.70038137
263,2022,BMRC.OQ,11.25730454
264,2023,BMRC.OQ,-9.112524229
265,2024,BMRC.OQ,-29.49996057
266,2013,BOH.N,2.950938507
267,2014,BOH.N,38.93401968
268,2015,BOH.N,3.461331836
269,2016,BOH.N,9.110402522
270,2017,BOH.N,44.77414836
271,2018,BOH.N,-0.933067902
272,2019,BOH.N,-19.19606541
273,2020,BOH.N,45.83328357
274,2021,BOH.N,-16.25380256
275,2022,BOH.N,12.86283064
276,2023,BOH.N,-4.148068447
277,2024,BOH.N,-1.617321171
278,2013,BOKF.OQ,3.62678536
279,2014,BOKF.OQ,24.79588763
280,2015,BOKF.OQ,-7.206001837
281,2016,BOKF.OQ,2.217398009
282,2017,BOKF.OQ,42.90910423
283,2018,BOKF.OQ,13.58012697
284,2019,BOKF.OQ,-18.97118337
285,2020,BOKF.OQ,22.09956055
286,2021,BOKF.OQ,-19.03221739
287,2022,BOKF.OQ,57.59333761
288,2023,BOKF.OQ,0.594771623
289,2024,BOKF.OQ,-15.28615111
290,2013,BRBS.K,5.75000075
291,2014,BRBS.K,53.6000003
292,2015,BRBS.K,31.25
293,2016,BRBS.K,-22.61904762
294,2017,BRBS.K,41.64271194
295,2018,BRBS.K,14.50310352
296,2019,BRBS.K,3.103220935
297,2020,BRBS.K,23.93939348
298,2021,BRBS.K,-12.52733457
299,2022,BRBS.K,55.00309441
300,2023,BRBS.K,-27.9079128
301,2024,BRBS.K,-75.20053091
302,2013,BRKL.O^I25,4.678516446
303,2014,BRKL.O^I25,16.65470688
304,2015,BRKL.O^I25,9.000273424
305,2016,BRKL.O^I25,18.50660414
306,2017,BRKL.O^I25,47.23510219
