symbol,year,market_cap
BRBS,2020,1082584928.6742
BRBS,2021,1632082619.9999998
BRBS,2022,1138810722.0
BRBS,2023,276268734.0
BRKL,2016,1461315439.9999998
BRKL,2017,1398942220.0
BRKL,2018,1231425572.0
BRKL,2019,1466661716.0
BRKL,2020,1072819384.0
BRKL,2021,1265081872.52
BRKL,2022,1087345882.8
BRKL,2023,969839835.07
BSRR,2016,367441892.0
BSRR,2017,367027328.0
BSRR,2018,332065764.0
BSRR,2019,402403456.0
BSRR,2020,330545696.0
BSRR,2021,414580771.5
BSRR,2022,322218701.28
BSRR,2023,333600911.6
BSVN,2016,
BSVN,2017,
BSVN,2018,123564990.09888
BSVN,2019,179157590.4
BSVN,2020,134179208.0
BSVN,2021,217332520.0
BSVN,2022,241900544.0
BSVN,2023,258436714.0
BUSE,2016,2754517466.88
BUSE,2017,2679345450.24
BUSE,2018,2196096771.84
BUSE,2019,2460988640.0
BUSE,2020,1928520188.8
BUSE,2021,1503394759.2
BUSE,2022,1366499945.28
BUSE,2023,1371159033.58
BWB,2016,
BWB,2017,
BWB,2018,289490945.0
BWB,2019,378121822.0
BWB,2020,342724351.0
BWB,2021,485411831.00000006
BWB,2022,486783826.0
BWB,2023,370987448.0
BWFG,2016,255885175.0
BWFG,2017,270372212.6
BWFG,2018,226045026.9
BWFG,2019,227068567.6
BWFG,2020,153924774.5
BWFG,2021,256255971.44000003
BWFG,2022,227514471.57
BWFG,2023,237897350.88
BY,2016,
BY,2017,1050220558.0
BY,2018,761718524.0
BY,2019,894767798.0
BY,2020,706395630.0
BY,2021,1250480290.0
BY,2022,1050220558.0
BY,2023,1077196184.0
CAC,2016,751302790.0
CAC,2017,712089686.0
CAC,2018,607972134.0
CAC,2019,778515332.0
CAC,2020,604760716.0
CAC,2021,709876280.9599999
CAC,2022,607311779.25
CAC,2023,548116773.76
CADE,2016,5698451001.6
CADE,2017,5771860998.4
CADE,2018,4797343290.88
CADE,2019,5764519998.72
CADE,2020,5035925780.4800005
CADE,2021,5610578831.82
CADE,2022,4498902954.9
CADE,2023,5411175822.25
CARE,2016,
CARE,2017,
CARE,2018,
CARE,2019,545425737.809
CARE,2020,248264480.0
CARE,2021,356417010.0
CARE,2022,384207810.0
CARE,2023,346690230.0
CATY,2016,2667169246.88
CATY,2017,2957521092.32
CATY,2018,2351569414.88
CATY,2019,2668571912.8
CATY,2020,2257590798.24
CATY,2021,3256529557.38
CATY,2022,2967152339.29
CATY,2023,3238854076.39
CBAN,2016,230252880.0
CBAN,2017,253801470.0
CBAN,2018,254673640.0
CBAN,2019,287816100.0
CBAN,2020,255545810.0
CBAN,2021,233413438.86
CBAN,2022,223320180.87
CBAN,2023,233603620.6
CBFV,2016,127884603.0
CBFV,2017,150146913.0
CBFV,2018,122591120.4
CBFV,2019,149108005.2
CBFV,2020,98993071.8
CBFV,2021,126782195.2
CBFV,2022,109297050.27
CBFV,2023,121947514.26
CBNK,2016,
CBNK,2017,
CBNK,2018,188998663.0
CBNK,2019,246642427.0
CBNK,2020,230740699.0
CBNK,2021,433984660.0
CBNK,2022,389923622.0
CBNK,2023,400856060.0
CBSH,2016,5220470968.58
CBSH,2017,5294700519.78
CBSH,2018,5612202228.5
CBSH,2019,7102317641.02
CBSH,2020,7211559535.46
CBSH,2021,8364580820.04441
CBSH,2022,8526363078.108771
CBSH,2023,6967488182.609535
CBU,2016,3265694185.0
CBU,2017,2840768125.0
CBU,2018,3081242450.0
CBU,2019,3749285410.0
CBU,2020,3293176965.0
CBU,2021,4012836940.56
CBU,2022,3382759824.55
CBU,2023,2778873096.6
CCB,2016,
CCB,2017,
CCB,2018,228850549.0
CCB,2019,247483161.0
CCB,2020,315552300.0
CCB,2021,760631306.0
CCB,2022,714049776.0
CCB,2023,667317983.0
CCBG,2016,349284352.0
CCBG,2017,391239406.0
CCBG,2018,395844229.0
CCBG,2019,520174450.0
