ticker,year,total_return,tier,data_source
RF,2019,0.3330125836608797,Tier 1,monthly_12m
RF,2020,-0.01633140010563283,Tier 1,monthly_12m
RF,2021,0.39394244300561887,Tier 1,monthly_12m
RF,2022,0.023159519050736765,Tier 1,monthly_12m
DFS,2016,,Tier 3,excluded
DFS,2017,,Tier 3,excluded
DFS,2018,,Tier 3,excluded
DFS,2019,,Tier 3,excluded
DFS,2020,,Tier 3,excluded
DFS,2021,,Tier 3,excluded
DFS,2022,,Tier 3,excluded
DFS,2023,,Tier 3,excluded
SBNY,2016,-0.020668970393295738,Tier 1,monthly_12m
SBNY,2017,-0.08615179752932545,Tier 1,monthly_12m
SBNY,2018,-0.2433241546823901,Tier 1,monthly_12m
SBNY,2019,0.3525253545324718,Tier 1,monthly_12m
SBNY,2020,0.012071413702833267,Tier 1,monthly_12m
FLG,2016,0.021514244321994447,Tier 1,monthly_12m
FLG,2017,-0.13890202190219936,Tier 1,monthly_12m
FLG,2018,-0.23226357763265137,Tier 1,monthly_12m
FLG,2019,0.35447312093440586,Tier 1,monthly_12m
FLG,2020,-0.0586733073896083,Tier 1,monthly_12m
FLG,2021,0.2262435012742805,Tier 1,monthly_12m
FLG,2022,-0.24574929585711303,Tier 1,monthly_12m
FLG,2023,0.2674255087108828,Tier 1,monthly_12m
ZION,2019,0.3106482461257034,Tier 1,monthly_12m
ZION,2020,-0.13160297038979119,Tier 1,monthly_12m
ZION,2021,0.49107468704773116,Tier 1,monthly_12m
ZION,2022,-0.1999975696098888,Tier 1,monthly_12m
FHN,2016,0.4037391826861718,Tier 1,monthly_12m
FHN,2017,0.019433376211711817,Tier 1,monthly_12m
FHN,2018,-0.32338545388414475,Tier 1,monthly_12m
FHN,2019,0.3043342720355413,Tier 1,monthly_12m
FHN,2020,-0.18174347903771249,Tier 1,monthly_12m
FHN,2021,0.3262656519138585,Tier 1,monthly_12m
FHN,2022,0.5393634665732359,Tier 1,monthly_12m
FHN,2023,-0.39503518476040855,Tier 1,monthly_12m
WAL,2017,0.16238965314760034,Tier 1,monthly_12m
WAL,2018,-0.3025432709787993,Tier 1,monthly_12m
WAL,2019,0.45908005560071175,Tier 1,monthly_12m
WAL,2020,0.07756849346488992,Tier 1,monthly_12m
WAL,2021,0.8172329899517867,Tier 1,monthly_12m
WAL,2022,-0.4367499021114515,Tier 1,monthly_12m
CMA,2016,0.6594508747361529,Tier 1,monthly_12m
CMA,2017,0.29339015924580525,Tier 1,monthly_12m
CMA,2018,-0.19142094486293149,Tier 1,monthly_12m
CMA,2019,0.08420543224252075,Tier 1,monthly_12m
CMA,2020,-0.16836290825373113,Tier 1,monthly_12m
CMA,2021,0.615270611755252,Tier 1,monthly_12m
CMA,2022,-0.2039436595313422,Tier 1,monthly_12m
CMA,2023,-0.11203817120766701,Tier 1,monthly_12m
WBS,2016,0.4999705643094321,Tier 1,monthly_12m
WBS,2017,0.05508293006802689,Tier 1,monthly_12m
WBS,2018,-0.10392527764889514,Tier 1,monthly_12m
WBS,2019,0.11544315716433218,Tier 1,monthly_12m
WBS,2020,-0.1698913963939247,Tier 1,monthly_12m
WBS,2021,0.3656652525732289,Tier 1,monthly_12m
WBS,2022,-0.12485302467235837,Tier 1,monthly_12m
WBS,2023,0.11341098395396232,Tier 1,monthly_12m
EWBC,2016,0.2507357839900928,Tier 1,monthly_12m
EWBC,2017,0.21395731181298672,Tier 1,monthly_12m
EWBC,2018,-0.2743427433010679,Tier 1,monthly_12m
EWBC,2019,0.14356542246069326,Tier 1,monthly_12m
EWBC,2020,0.07226979766973707,Tier 1,monthly_12m
EWBC,2021,0.5798934605900006,Tier 1,monthly_12m
EWBC,2022,-0.144433552285955,Tier 1,monthly_12m
WTFC,2016,0.5103979803917762,Tier 1,monthly_12m
WTFC,2017,0.1436381104835993,Tier 1,monthly_12m
WTFC,2018,-0.18558754862933857,Tier 1,monthly_12m
WTFC,2019,0.08167712621811507,Tier 1,monthly_12m
WTFC,2020,-0.11766055500441908,Tier 1,monthly_12m
WTFC,2021,0.5109937774193571,Tier 1,monthly_12m
WTFC,2022,-0.05539328952276534,Tier 1,monthly_12m
WTFC,2023,0.12012142315060093,Tier 1,monthly_12m
VLY,2016,0.2355105725875255,Tier 1,monthly_12m
VLY,2017,0.0008376902395963448,Tier 1,monthly_12m
VLY,2018,-0.17790316194856748,Tier 1,monthly_12m
VLY,2019,0.34261222489281273,Tier 1,monthly_12m
VLY,2020,-0.10058769802742551,Tier 1,monthly_12m
VLY,2021,0.4577645782938864,Tier 1,monthly_12m
VLY,2022,-0.14603102502018528,Tier 1,monthly_12m
VLY,2023,0.006924851456379999,Tier 1,monthly_12m
SNV,2016,0.28764989712204736,Tier 1,monthly_12m
SNV,2017,0.1827847952644186,Tier 1,monthly_12m
SNV,2018,-0.31741213912573774,Tier 1,monthly_12m
SNV,2019,0.26630141153610265,Tier 1,monthly_12m
SNV,2020,-0.11865190184270569,Tier 1,monthly_12m
SNV,2021,0.5222732873992988,Tier 1,monthly_12m
SNV,2022,-0.1887648767493758,Tier 1,monthly_12m
SNV,2023,0.05273605744320631,Tier 1,monthly_12m
ONB,2016,0.3904310862369271,Tier 1,monthly_12m
ONB,2017,-0.009181651738196739,Tier 1,monthly_12m
ONB,2018,-0.09229663783506481,Tier 1,monthly_12m
ONB,2019,0.2241751789573323,Tier 1,monthly_12m
ONB,2020,-0.05964866553326009,Tier 1,monthly_12m
ONB,2021,0.12898455082277338,Tier 1,monthly_12m
ONB,2022,0.024808711439709974,Tier 1,monthly_12m
ONB,2023,-0.02463796791966133,Tier 1,monthly_12m
