ticker,year,annual_return_from_monthly,months_used,annual_return_direct,tier,total_return,data_source
JPM,2016,0.3456645970908214,12.0,0.08366289208,Tier 1,0.3456645970908214,monthly_12m
JPM,2017,0.2673143656127066,12.0,0.34566459709999997,Tier 1,0.2673143656127066,monthly_12m
JPM,2018,-0.06645787487842947,12.0,0.2673143656,Tier 1,-0.06645787487842947,monthly_12m
JPM,2019,0.47266769329915204,12.0,-0.06645787487,Tier 1,0.47266769329915204,monthly_12m
JPM,2020,-0.055180614163996,12.0,0.4726676933,Tier 1,-0.055180614163996,monthly_12m
JPM,2021,0.27725280751956016,12.0,-0.055180614180000004,Tier 1,0.27725280751956016,monthly_12m
JPM,2022,-0.12611362626075506,12.0,0.2772528075,Tier 1,-0.12611362626075506,monthly_12m
JPM,2023,0.30627358581842623,12.0,-0.1261136262,Tier 1,0.30627358581842623,monthly_12m
BAC,2016,0.33332555623682625,12.0,-0.04781414339,Tier 1,0.33332555623682625,monthly_12m
BAC,2017,0.35667088924413837,12.0,0.3333255563,Tier 1,0.35667088924413837,monthly_12m
BAC,2018,-0.14975136261038258,12.0,0.35667088919999995,Tier 1,-0.14975136261038258,monthly_12m
BAC,2019,0.4616404135249612,12.0,-0.1497513627,Tier 1,0.4616404135249612,monthly_12m
BAC,2020,-0.11621484581938923,12.0,0.46164041349999996,Tier 1,-0.11621484581938923,monthly_12m
BAC,2021,0.49575776025037355,12.0,-0.1162148459,Tier 1,0.49575776025037355,monthly_12m
BAC,2022,-0.23809891090299162,12.0,0.4957577602,Tier 1,-0.23809891090299162,monthly_12m
WFC,2016,0.046661480190315796,12.0,0.01845586003,Tier 1,0.046661480190315796,monthly_12m
WFC,2017,0.131930232331662,12.0,0.046661480170000005,Tier 1,0.131930232331662,monthly_12m
WFC,2018,-0.2182411393567193,12.0,0.1319302323,Tier 1,-0.2182411393567193,monthly_12m
WFC,2019,0.2140552108705649,12.0,-0.2182411393,Tier 1,0.2140552108705649,monthly_12m
WFC,2020,-0.41662380809255095,12.0,0.21405521090000001,Tier 1,-0.41662380809255095,monthly_12m
WFC,2021,0.6112248026669371,12.0,-0.4166238081,Tier 1,0.6112248026669371,monthly_12m
WFC,2022,-0.1188409298807851,12.0,0.6112248029,Tier 1,-0.1188409298807851,monthly_12m
USB,2016,0.23400858450409956,12.0,-0.02810814037,Tier 1,0.23400858450409956,monthly_12m
USB,2017,0.06612330836656266,12.0,0.2340085845,Tier 1,0.06612330836656266,monthly_12m
USB,2018,-0.12362335389369328,12.0,0.06612330839,Tier 1,-0.12362335389369328,monthly_12m
USB,2019,0.3360658393305531,12.0,-0.1236233539,Tier 1,0.3360658393305531,monthly_12m
USB,2020,-0.17884083635282844,12.0,0.3360658393,Tier 1,-0.17884083635282844,monthly_12m
USB,2021,0.24313334205008097,12.0,-0.1788408364,Tier 1,0.24313334205008097,monthly_12m
USB,2022,-0.19119499356676628,12.0,0.2431333421,Tier 1,-0.19119499356676628,monthly_12m
USB,2023,0.04732793192021689,12.0,-0.1911949936,Tier 1,0.04732793192021689,monthly_12m
PNC,2016,0.25780942762818615,12.0,0.06806617445,Tier 1,0.25780942762818615,monthly_12m
PNC,2017,0.2595929629228624,12.0,0.2578094277,Tier 1,0.2595929629228624,monthly_12m
PNC,2018,-0.16977929791543667,12.0,0.2595929629,Tier 1,-0.16977929791543667,monthly_12m
PNC,2020,-0.027324487502965122,12.0,0.4089247573,Tier 1,-0.027324487502965122,monthly_12m
PNC,2021,0.3821723206803742,12.0,-0.0273244875,Tier 1,0.3821723206803742,monthly_12m
