Index,Date,Instrument,Total Return
130,10/31/23,ABCB.N,-2.839281063
131,11/30/23,ABCB.N,14.15549598
132,12/31/23,ABCB.N,24.93702292
133,1/31/13,ACNB.O,0.679233621
134,2/28/13,ACNB.O,2.811219075
135,3/31/13,ACNB.O,0.543478261
136,4/30/13,ACNB.O,-0.894894894
137,5/31/13,ACNB.O,4.064562176
138,6/30/13,ACNB.O,-1.590106009
139,7/31/13,ACNB.O,1.675643327
140,8/31/13,ACNB.O,2.335824041
141,9/30/13,ACNB.O,-2.034314154
142,10/31/13,ACNB.O,1.958456969
143,11/30/13,ACNB.O,3.78096703
144,12/31/13,ACNB.O,2.380952381
145,1/31/14,ACNB.O,7.972868218
146,2/28/14,ACNB.O,-3.568036948
147,3/31/14,ACNB.O,0.725221595
148,4/30/14,ACNB.O,4.533333333
149,5/31/14,ACNB.O,0.644500842
150,6/30/14,ACNB.O,-1.254159201
151,7/31/14,ACNB.O,-3.110419905
152,8/31/14,ACNB.O,3.965716793
153,9/30/14,ACNB.O,-0.961538462
154,10/31/14,ACNB.O,2.33482026
155,11/30/14,ACNB.O,4.855396312
156,12/31/14,ACNB.O,7.40740741
157,1/31/15,ACNB.O,-7.954022989
158,2/28/15,ACNB.O,3.661654554
159,3/31/15,ACNB.O,-2.301703165
160,4/30/15,ACNB.O,4.057379092
161,5/31/15,ACNB.O,-2.500667569
162,6/30/15,ACNB.O,3.173029252
163,7/31/15,ACNB.O,-1.393560789
164,8/31/15,ACNB.O,-1.552089011
165,9/30/15,ACNB.O,4.499500002
166,10/31/15,ACNB.O,3.54116527
167,11/30/15,ACNB.O,0.764681883
168,12/31/15,ACNB.O,-1.434521057
169,1/31/16,ACNB.O,1.079812208
170,2/29/16,ACNB.O,1.270961417
171,3/31/16,ACNB.O,3.563165201
172,4/30/16,ACNB.O,-1.385165324
173,5/31/16,ACNB.O,10.03580839
174,6/30/16,ACNB.O,4.23412204
175,7/31/16,ACNB.O,2.947033053
176,8/31/16,ACNB.O,6.012988882
177,9/30/16,ACNB.O,-2.279411764
178,10/31/16,ACNB.O,1.203912715
179,11/30/16,ACNB.O,16.34860314
180,12/31/16,ACNB.O,0.482315112
181,1/31/17,ACNB.O,-4
182,2/28/17,ACNB.O,-2.672364674
183,3/31/17,ACNB.O,-0.517241381
184,4/30/17,ACNB.O,7.279029462
185,5/31/17,ACNB.O,-8.075248856
186,6/30/17,ACNB.O,7.964601771
187,7/31/17,ACNB.O,-6.721311473
188,8/31/17,ACNB.O,-7.377315128
189,9/30/17,ACNB.O,5.927342254
190,10/31/17,ACNB.O,0.722021659
191,11/30/17,ACNB.O,4.65949821
192,12/31/17,ACNB.O,1.896551725
193,1/31/18,ACNB.O,2.368866328
194,2/28/18,ACNB.O,-6.776859504
195,3/31/18,ACNB.O,4.464285718
196,4/30/18,ACNB.O,2.564102565
197,5/31/18,ACNB.O,5.766666666
198,6/30/18,ACNB.O,8.095238096
199,7/31/18,ACNB.O,0.73421439
200,8/31/18,ACNB.O,5.045610081
201,9/30/18,ACNB.O,3.910614527
202,10/31/18,ACNB.O,7.795698919
203,11/30/18,ACNB.O,-9.436274509
204,12/31/18,ACNB.O,8.755888059
205,1/31/19,ACNB.O,-7.261146497
206,2/28/19,ACNB.O,8.873626373
207,3/31/19,ACNB.O,-6.091370557
208,4/30/19,ACNB.O,2.351351349
209,5/31/19,ACNB.O,-5.086736881
210,6/30/19,ACNB.O,10.84033614
211,7/31/19,ACNB.O,-5.736669193
212,8/31/19,ACNB.O,-9.029233758
213,9/30/19,ACNB.O,1.840855107
214,10/31/19,ACNB.O,3.177842566
215,11/30/19,ACNB.O,0.220875905
216,12/31/19,ACNB.O,7.38216922
217,1/31/20,ACNB.O,-15.25647805
218,2/29/20,ACNB.O,-4.162060907
219,3/31/20,ACNB.O,-1.57480315
220,4/30/20,ACNB.O,-6.8
221,5/31/20,ACNB.O,-10.2646638
222,6/30/20,ACNB.O,5.394524959
223,7/31/20,ACNB.O,-21.31398014
224,8/31/20,ACNB.O,3.182768079
225,9/30/20,ACNB.O,-1.046622266
226,10/31/20,ACNB.O,0.336538462
227,11/30/20,ACNB.O,20.55582175
228,12/31/20,ACNB.O,0.361300683
229,1/31/21,ACNB.O,0.200000002
230,2/28/21,ACNB.O,11.21756487
231,3/31/21,ACNB.O,6.120970663
232,4/30/21,ACNB.O,-6.143344711
233,5/31/21,ACNB.O,5.71036089
234,6/30/21,ACNB.O,-3.090277777
235,7/31/21,ACNB.O,0.071658903
236,8/31/21,ACNB.O,4.047696883
237,9/30/21,ACNB.O,-2.811523776
238,10/31/21,ACNB.O,-0.892857143
239,11/30/21,ACNB.O,5.585585586
240,12/31/21,ACNB.O,7.713498624
241,1/31/22,ACNB.O,3.54859335
242,2/28/22,ACNB.O,0.154368633
243,3/31/22,ACNB.O,8.607830951
244,4/30/22,ACNB.O,-2.060085835
245,5/31/22,ACNB.O,1.577563539
246,6/30/22,ACNB.O,-13.9669661
247,7/31/22,ACNB.O,10.77803974
248,8/31/22,ACNB.O,8.908482824
249,9/30/22,ACNB.O,-15.52305962
250,10/31/22,ACNB.O,21.80426099
251,11/30/22,ACNB.O,8.171631593
252,12/31/22,ACNB.O,1.297709921
253,1/31/23,ACNB.O,-1.155488572
254,2/28/23,ACNB.O,-5.158831003
255,3/31/23,ACNB.O,-12.12203024
256,4/30/23,ACNB.O,-6.820276498
257,5/31/23,ACNB.O,-1.978239367
258,6/30/23,ACNB.O,12.63157895
259,7/31/23,ACNB.O,4.612601749
260,8/31/23,ACNB.O,-7.463976946
261,9/30/23,ACNB.O,-0.69117185
262,10/31/23,ACNB.O,8.857956343
263,11/30/23,ACNB.O,14.44347573
264,12/31/23,ACNB.O,14.53428864
265,1/31/13,ALRS.O,-1.258064516
266,2/28/13,ALRS.O,11.89153871
267,3/31/13,ALRS.O,-1.10E-09
268,4/30/13,ALRS.O,1.459854015
269,5/31/13,ALRS.O,7.539568345
270,6/30/13,ALRS.O,3.96039604
271,7/31/13,ALRS.O,8.751608752
272,8/31/13,ALRS.O,0.591715975
273,9/30/13,ALRS.O,1.176470587
