instrument,year,rit_rf,rit,new_wacc,unnamed:_5,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,equity_vol_is_default,equity_vol,asset_value,asset_vol,solver_status,DDm,PDm
ACNB,2021,0.212867053,0.213267053,0.995293178,,1.437059699,0.095294081,0.083041556,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,7.932716363,0.025081567,0.99769054,18.71,19.22291,1.008905854,15.44479785,84.55520215,2786.987,69.902,0.182659345,,,0.0004,ACNB,,,ACNB,271485563.68,0.1768195896937339,False,0.1768195896937339,341359608.47141445,0.14062579423345783,converged,11.20956814764511,1.8298729509006045e-29
ACNB,2022,0.127569598,0.141769598,3.905756544,,5.499492672,0.387979876,0.342944255,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,7.834197114,0.024927272,1.38338296,17.32,19.22291,4.684263449,13.98378516,86.01621484,2525.507,62.954,0.162571501,,,0.014199999999999999,ACNB,,,ACNB,338986927.20000005,0.37390232271548,False,0.37390232271548,401053297.4719811,0.3160377941267324,converged,5.745990254962898,4.569228493531308e-09
ACNB,2023,0.024222961,0.073722961,3.981961066,,5.748060666,0.584907718,0.504535153,15.2370401,19.45467306,33.20644915,21.77666183,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,7.791046259,0.104253804,1.373067337,17.41,19.22291,4.853334129,16.47244182,83.52755818,2418.847,252.174,0.197209666,,,0.0495,ACNB,,,ACNB,380972636.28,0.3344273244380255,False,0.3344273244380255,620967904.5778191,0.20517614094797315,converged,4.530797016715314,2.9380788549801938e-06
ALRS,2020,-0.015796487,-0.011396487,1.81125748,,5.538694633,0.861756247,0.766357457,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,22.06022092,39.43171869,75.21277725,46.89042848,46.89042848,8.010947398,0.019488873,1.41965829,16.79,28.88722,2.560659561,14.89728816,85.10271184,3013.771,58.735,0.175050687,0.0,0.0,0.0044,ALRS,,,ALRS,694259209.0,0.3316553991696805,False,0.3316553991696805,752736342.7218361,0.3058903952079849,converged,8.199978799911179,1.2021471392163614e-16
ALRS,2021,0.072837546,0.073237546,1.706068707,,1.581584816,0.670397237,0.616689287,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,8.129378691,0.017370577,1.402282609,18.64,24.05389,2.159907368,10.28770718,89.71229282,3392.691,58.933,0.114674443,0.0,0.0,0.0004,ALRS,,,ALRS,742707696.0,0.2905303940708307,False,0.2905303940708307,801617127.5140115,0.2691798268860472,converged,9.563870485879022,5.671664776977207e-22
ALRS,2022,-0.072396417,-0.058196417,3.368981311,,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0.0,0.0,0.014199999999999999,ALRS,,,ALRS,592289095.0,0.1538109001402423,False,0.1538109001402423,1023051631.2088956,0.08905014148377338,converged,9.668971645355716,2.0423084562153234e-22
ALRS,2023,-0.048601476,0.000898524,3.38636152,,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0.0,0.0,0.0495,ALRS,,,ALRS,567938023.0,0.4249627806757212,False,0.4249627806757212,923039284.9056089,0.2614960885019272,converged,3.5222918044670153,0.00021391646947002566
AMTB,2020,-0.435393268,-0.430993268,1.429964123,,4.075076424,0.61578078,0.499788631,18.99807322,42.41611639,68.6590154,45.75563928,45.75563928,20.28455285,26.65912672,48.70741802,30.75759734,30.75759734,8.958140366,0.150916375,0.734227164,13.96,30.219,2.512704254,24.95798495,75.04201505,7770.893,1172.755,0.332586817,0.0,0.0,0.0044,AMTB,,,AMTB,637679520.0,0.6910159885375892,False,0.6910159885375892,1798683995.4580822,0.25347933764138453,converged,1.5779341960941817,0.057290363990092553
AMTB,2021,0.496032825,0.496432825,2.024546522,,1.587478602,1.448600892,1.316364471,17.43215031,38.46229689,64.55770527,42.31807315,42.31807315,18.99807322,42.41611639,68.6590154,45.75563928,45.75563928,8.940943305,0.122100063,1.485672813,14.56,25.30041,2.12445634,11.85386528,88.14613472,7638.399,932.649,0.134479695,0.0,0.0,0.0004,AMTB,,,AMTB,1449462329.9999998,0.4178964167464902,False,0.4178964167464902,2381728085.4568486,0.25433901099020906,converged,3.5606354505384568,0.00018497920567976472
AMTB,2022,0.202692544,0.216892544,3.806654738,,8.905050483,1.260289589,1.103554235,22.70569188,37.63834853,43.71801632,35.3880167,35.3880167,17.43215031,38.46229689,64.55770527,42.31807315,42.31807315,9.119080419,0.116036453,1.282252621,12.39,21.8938,4.638727218,15.3861282,84.6138718,9127.804,1059.158,0.181839312,0.0,0.0,0.014199999999999999,AMTB,,,AMTB,1126007784.0,0.3406938589851969,False,0.3406938589851969,2170231004.6853056,0.17676850116182197,converged,4.05013227246438,2.5594345239962174e-05
