year,p10,p25,p50,p75,p90
2016,11.257193573986038,12.792081074858777,15.904340076305278,18.37560756926292,21.39759828512289
2017,11.46465895496076,13.452838357344808,16.07296767514123,20.06490350294858,23.278789219315243
2018,11.93202169407313,14.257900816382993,19.569491308704748,36.34061489902007,63.08498274615244
2019,5.756892223108053,7.714240189220912,11.570772346126128,17.324584037864057,21.724731201155873
2020,8.832194690729064,11.431434614747923,15.67075448389015,22.03147108000327,29.324350034292284
2021,13.097018940295301,16.846336951267194,21.812298080052045,28.5259910928578,40.52660945022398
2022,10.619378472719792,12.979595646465453,17.362542939290783,23.393904757883867,34.05119610441519
2023,9.045690053750164,10.997184400074577,15.666134459872906,20.615259728085736,31.595214641198698
overall,9.225150169664563,12.242458241658637,16.616343274454913,22.91776979148782,34.27184947212868
