instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_equity_vol,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_sigmaE_count,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m,m_solver_status
ACNB,2021,2710810000.8759003,E_pb,False,2710810000.8759003,382690521.5279295,2356542491.7442203,69902000.0,0.1998317987601392,0.0999579496900348,0.1973211533587099,-0.250233842,17.300052778400676,2.3497908327763886e-67,ok,1.0,0.212867053,0.213267053,0.995293178,1.437059699,0.095294081,0.083041556,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,7.932716363,0.025081567,0.99769054,18.71,19.22291,1.008905854,15.44479785,84.55520215,2786.987,69.902,0.182659345,0.0,0.0,0.0004,69902000.0,ACNB,,,ACNB,271485563.68,0.1768195896937339,0.1998317987601392,271485563.68,69902000.0,0.0004,1.0,0.1998317987601392,2.0,2020.0,2019.0,341359608.4714149,0.1589275566916662,0.0,5.0,converged,10.06037749651249,9.901449939820823,9.901449939820823,2.0514149638190245e-23,converged
ACNB,2022,3406653858.29688,E_pb,False,3406653858.29688,387238843.29517263,2172345526.919239,62954000.0,0.2336029244864704,0.1084007311216176,0.2313312041068192,0.213267053,18.138074206878876,7.976185227397811e-74,ok,1.0,0.127569598,0.141769598,3.905756544,5.499492672,0.387979876,0.342944255,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,7.834197114,0.024927272,1.38338296,17.32,19.22291,4.684263449,13.98378516,86.01621484,2525.507,62.954,0.162571501,0.0,0.0,0.0141999999999999,62954000.0,ACNB,,,ACNB,338986927.20000005,0.37390232271548,0.2336029244864704,338986927.20000005,62954000.0,0.0141999999999999,1.0,0.2336029244864704,3.0,2021.0,2019.0,401053297.49593514,0.197450910782271,0.0,7.0,converged,9.548618705200774,9.351167794418505,9.351167794418505,4.334263282429218e-21,converged
ACNB,2023,2974987926.259801,E_pb,False,2974987926.259801,1278710141.925802,2020403835.2101848,252174000.0,0.2495367917793258,0.1123841979448314,0.2388195364980872,0.141769598,11.148548797427972,3.6391849654082483e-29,ok,1.0,0.024222961,0.073722961,3.981961066,5.748060666,0.584907718,0.504535153,15.2370401,19.45467306,33.20644915,21.77666183,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,7.791046259,0.104253804,1.373067337,17.41,19.22291,4.853334129,16.47244182,83.52755818,2418.847,252.174,0.197209666,0.0,0.0,0.0495,252174000.0,ACNB,,,ACNB,380972636.28,0.3344273244380255,0.2495367917793258,380972636.28,252174000.0,0.0495,1.0,0.2495367917793258,3.0,2022.0,2020.0,620967932.8266431,0.1530943619756371,0.0,6.0,converged,6.286182238340703,6.133087876365066,6.133087876365066,4.309475321766366e-10,converged
ALRS,2020,4195141354.64844,E_pb,False,4195141354.64844,335531388.1173171,2564800849.647486,58735000.0,0.191261164647664,0.097815291161916,0.1899709194873438,0.044898351,22.684545697298734,3.183042458053823e-114,insufficient_returns,1.0,-0.015796487,-0.011396487,1.81125748,5.538694633,0.861756247,0.766357457,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,22.06022092,39.43171869,75.21277725,46.89042848,46.89042848,8.010947398,0.019488873,1.41965829,16.79,28.88722,2.560659561,14.89728816,85.10271184,3013.771,58.735,0.175050687,0.0,0.0,0.0044,58735000.0,ALRS,,,ALRS,694259209.0,0.3316553991696805,,694259209.0,58735000.0,0.0044,1.0,,0.0,2019.0,2019.0,,,,,no_sigma_E,,,,,no_sigma_E
ALRS,2021,4674870866.014622,E_pb,False,4674870866.014622,513915729.2440479,3043660884.3977866,58933000.0,0.191261164647664,0.097815291161916,0.1900978199426431,-0.011396487,22.91776979148782,1.5450226846369263e-116,insufficient_returns,1.0,0.072837546,0.073237546,1.706068707,1.581584816,0.670397237,0.616689287,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,8.129378691,0.017370577,1.402282609,18.64,24.05389,2.159907368,10.28770718,89.71229282,3392.691,58.933,0.114674443,0.0,0.0,0.0004,58933000.0,ALRS,,,ALRS,742707696.0,0.2905303940708307,,742707696.0,58933000.0,0.0004,1.0,,1.0,2020.0,2020.0,,,,,no_sigma_E,,,,,no_sigma_E
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.059845298653466,0.0649613246633665,0.0603100823918677,0.073237546,40.95467661526021,0.0,ok,1.0,-0.072396417,-0.058196417,3.368981311,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0.0,0.0,0.0141999999999999,436923000.0,ALRS,,,ALRS,592289095.0,0.1538109001402423,0.059845298653466,592289095.0,436923000.0,0.0141999999999999,1.0,0.059845298653466,2.0,2021.0,2020.0,1023051631.2112694,0.0346470471939197,0.0,8.0,converged,24.98303711043265,24.94839006323873,24.94839006323873,1.1115176298418798e-137,converged
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.0666183653603811,0.0666545913400952,0.06662130123127,-0.058196417,36.81040053656623,6.293536652802008e-297,ok,1.0,-0.048601476,0.000898524,3.38636152,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0.0,0.0,0.0495,373126000.0,ALRS,,,ALRS,567938023.0,0.4249627806757212,0.0666183653603811,567938023.0,373126000.0,0.0495,1.0,0.0666183653603811,3.0,2022.0,2020.0,923043961.8352135,0.0409894916633221,0.0,5.0,converged,23.325509267485383,23.284519775822066,23.284519775822066,3.1810688702311555e-120,converged
AMTB,2020,4844532151.420632,E_pb,False,4844532151.420632,3526162012.609177,5831434694.579396,1172755000.0,0.191261164647664,0.097815291161916,0.1730487854471957,0.044898351,9.622756047534168,3.2045238540523104e-22,insufficient_returns,1.0,-0.435393268,-0.430993268,1.429964123,4.075076424,0.61578078,0.499788631,18.99807322,42.41611639,68.6590154,45.75563928,45.75563928,20.28455285,26.65912672,48.70741802,30.75759734,30.75759734,8.958140366,0.150916375,0.734227164,13.96,30.219,2.512704254,24.95798495,75.04201505,7770.893,1172.755,0.332586817,0.0,0.0,0.0044,1172755000.0,AMTB,,,AMTB,637679520.0,0.6910159885375892,,637679520.0,1172755000.0,0.0044,1.0,,0.0,2019.0,2019.0,,,,,no_sigma_E,,,,,no_sigma_E
AMTB,2021,9962550465.77475,E_pb,False,9962550465.77475,6935240297.801091,6732953472.991133,932649000.0,0.191261164647664,0.097815291161916,0.1832620269784196,-0.430993268,10.969336696880765,2.68323117178059e-28,insufficient_returns,1.0,0.496032825,0.496432825,2.024546522,1.587478602,1.448600892,1.316364471,17.43215031,38.46229689,64.55770527,42.31807315,42.31807315,18.99807322,42.41611639,68.6590154,45.75563928,45.75563928,8.940943305,0.122100063,1.485672813,14.56,25.30041,2.12445634,11.85386528,88.14613472,7638.399,932.649,0.134479695,0.0,0.0,0.0004,932649000.0,AMTB,,,AMTB,1449462329.9999998,0.4178964167464902,,1449462329.9999998,932649000.0,0.0004,1.0,,1.0,2020.0,2020.0,,,,,no_sigma_E,,,,,no_sigma_E
AMTB,2022,10346042481.421167,E_pb,False,10346042481.421167,5824692077.58551,7723388374.715272,1059158000.0,0.4437667413608481,0.160941685340212,0.4175018439421069,0.496432825,6.672722891384264,1.2555013019211048e-11,ok,1.0,0.202692544,0.216892544,3.806654738,8.905050483,1.260289589,1.103554235,22.70569188,37.63834853,43.71801632,35.3880167,35.3880167,17.43215031,38.46229689,64.55770527,42.31807315,42.31807315,9.119080419,0.116036453,1.282252621,12.39,21.8938,4.638727218,15.3861282,84.6138718,9127.804,1059.158,0.181839312,0.0,0.0,0.0141999999999999,1059158000.0,AMTB,,,AMTB,1126007784.0,0.3406938589851969,0.6557892794096457,1126007784.0,1059158000.0,0.0141999999999999,1.0,0.6557892794096457,2.0,2021.0,2020.0,2167090695.404314,0.3445232381381508,0.0,6.0,converged,2.291454872203574,1.9469316340654232,1.9469316340654232,0.0257714657415614,converged
AMTB,2023,10003318498.011852,E_pb,False,10003318498.011852,3064952620.566017,7708834883.924403,798158000.0,0.4437667413608481,0.160941685340212,0.4228678317437352,0.216892544,6.462103004804051,5.1628884685822886e-11,ok,1.0,0.152715007,0.202215007,4.064090686,8.983340129,1.754215972,1.454168362,42.5731461,37.10406492,65.5896251,44.94988446,44.94988446,22.70569188,37.63834853,43.71801632,35.3880167,35.3880167,9.181562945,0.082146062,1.121678508,12.12,20.76622,4.92675644,20.66101847,79.33898153,9716.327,798.158,0.260414466,0.0,0.0,0.0495,798158000.0,AMTB,,,AMTB,1030775382.0,0.4461010168982934,0.4757481742949209,1030775382.0,798158000.0,0.0495,1.0,0.4757481742949209,3.0,2022.0,2020.0,1790310014.5694485,0.2740630298227256,0.0,5.0,converged,3.2652808962719635,2.991217866449238,2.991217866449238,0.0013893358537649,converged
AROW,2017,4769586053.469014,E_pb,False,4769586053.469014,1438097028.124581,2358685590.474387,244966000.0,0.191261164647664,0.097815291161916,0.1866962380898723,0.044898351,16.317685825759398,3.6941893812899573e-60,insufficient_returns,0.0,0.1158279,0.1238279,1.446312422,5.013335612,0.619601145,0.553659664,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.23117591,7.923154423,0.088740846,1.896079487,15.0,30.08052,1.917215905,14.55477282,85.44522718,2760.465,244.966,0.170340384,0.0,0.0,0.008,244966000.0,AROW,,,AROW,468535590.2864,0.1748166030339055,,468535590.2864,244966000.0,0.008,1.0,,0.0,2016.0,2016.0,,,,,no_sigma_E,,,,,no_sigma_E
AROW,2018,4530566669.11395,E_pb,False,4530566669.11395,2289691431.8392067,2588518976.451369,353659000.0,0.191261164647664,0.097815291161916,0.1844948978103064,0.1238279,14.809307014345254,6.377424688491391e-50,insufficient_returns,0.0,-0.15814885,-0.14004885,1.635243053,6.05340398,0.622665674,0.561684289,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,8.00247132,0.118346544,1.719592234,14.9,29.7094,2.498989189,13.37919468,86.62080532,2988.334,353.659,0.154457057,0.0,0.0,0.0181,353659000.0,AROW,,,AROW,455157045.8032,0.1658637884030255,,455157045.8032,353659000.0,0.0181,1.0,,1.0,2017.0,2017.0,,,,,no_sigma_E,,,,,no_sigma_E
AROW,2019,5539087313.821926,E_pb,False,5539087313.821926,1202676685.1848538,2661274705.0416527,236353000.0,0.1865890393224673,0.0966472598306168,0.1829082793711676,-0.14004885,16.616343274454913,2.653631194155672e-62,ok,0.0,0.066134827,0.087534827,1.285904064,4.732924173,0.594509045,0.522352876,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,8.065979913,0.074225059,1.878980283,14.8,29.7094,1.725332219,16.42447009,83.57552991,3184.275,236.353,0.196522476,0.0,0.0,0.0214,236353000.0,AROW,,,AROW,553437861.392,0.2072943232518679,0.1865890393224673,553437861.392,236353000.0,0.0214,1.0,0.1865890393224673,2.0,2018.0,2017.0,784786643.3017628,0.1315840932872272,0.0,5.0,converged,9.34871833472479,9.217134241437565,9.217134241437565,1.52573198470498e-20,converged
AROW,2020,4997506647.55713,E_pb,False,4997506647.55713,343667096.45528054,2938689617.8227844,87703000.0,0.1430282351933737,0.0857570587983434,0.142040497355311,0.087534827,29.129597421391164,7.574755608317731e-187,ok,1.0,-0.179781542,-0.175381542,0.698529107,3.987268628,0.633919553,0.536885399,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,8.213012021,0.02377654,1.38783661,15.5,29.17827,1.183610401,20.3312656,79.6687344,3688.636,87.703,0.255197547,0.0,0.0,0.0044,87703000.0,AROW,,,AROW,451056148.114,0.2660258840762802,0.1430282351933737,451056148.114,87703000.0,0.0044,1.0,0.1430282351933737,3.0,2019.0,2017.0,538374102.6445484,0.1198307391409105,0.0,7.0,converged,15.239639564795768,15.119808825654856,15.119808825654856,5.994507659638052e-52,converged
AROW,2021,6025606149.181461,E_pb,False,6025606149.181461,1439854214.1708708,3840777815.084661,70169000.0,0.14269299576886,0.085673248942215,0.1420366364844109,-0.175381542,30.12586016192352,1.1110293773245337e-199,ok,1.0,0.230513245,0.230913245,1.895743907,1.543761519,0.662189186,0.637723954,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,8.301013337,0.017420515,1.522470067,15.7,21.27914,2.128484023,4.646882214,95.35311779,4027.952,70.169,0.048733406,0.0,0.0,0.0004,70169000.0,AROW,,,AROW,565115143.0334799,0.1453358316772399,0.14269299576886,565115143.0334799,70169000.0,0.0004,1.0,0.14269299576886,3.0,2020.0,2018.0,635256081.0465798,0.1269377424546522,0.0,5.0,converged,17.422542178884395,17.295604436429745,17.295604436429745,2.538385997146942e-67,converged
AROW,2022,6173197402.58115,E_pb,False,6173197402.58115,1514340694.0079827,3770520599.329345,79919000.0,0.2060573713717056,0.1015143428429264,0.2047212417110547,0.230913245,22.321960508465704,1.1307637419567864e-110,ok,1.0,0.059101412,0.073301412,3.464948814,6.812876327,0.670815154,0.644057921,15.8938172,25.42706308,46.86126629,29.48187915,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,8.286397688,0.020133221,1.587107485,15.1,21.27914,4.313115919,5.012922273,94.98707773,3969.509,79.919,0.052774782,0.0,0.0,0.0141999999999999,79919000.0,AROW,,,AROW,561100620.940994,0.2802803159657703,0.2060573713717056,561100620.940994,79919000.0,0.0141999999999999,1.0,0.2060573713717056,3.0,2021.0,2019.0,639892790.5726784,0.1806848288190879,0.0,6.0,converged,11.682278713272725,11.501593884453635,11.501593884453635,6.475081819488301e-31,converged
ASB,2016,32410401528.54878,E_pb,False,32410401528.54878,6887849352.465166,,3853830000.0,0.191261164647664,0.097815291161916,0.1813305940706458,0.044898351,12.519797939258158,2.9091538991120843e-36,insufficient_returns,0.0,0.316896117,0.318896117,1.727344495,6.444819083,1.211613167,0.869455671,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,18.2821119,46.74700286,54.13398693,42.67474871,42.67474871,10.27984357,0.13225534,1.281778915,12.68,29.66529,2.174938562,34.67078609,61.96618728,29139.315,3853.83,0.559511366,0.0,0.0,0.002,3853830000.0,ASB,,,ASB,4095507000.0,0.1999387415447333,,4095507000.0,3853830000.0,0.002,1.0,,0.0,2015.0,2015.0,,,,,no_sigma_E,,,,,no_sigma_E
ASB,2017,33315540393.295376,E_pb,False,33315540393.295376,14312299281.082872,,4073732000.0,0.191261164647664,0.097815291161916,0.1810798099242405,0.318896117,13.912790528762482,2.648585413089363e-44,insufficient_returns,0.0,0.186351273,0.194351273,1.828800619,7.019117242,1.182026603,0.986122367,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,10.32494392,0.133636867,1.261481048,13.22,30.20409,2.410563459,21.42974031,75.28940467,30483.594,4073.732,0.284631555,0.0,0.0,0.008,4073732000.0,ASB,,,ASB,4211574000.0,0.1949956441283363,,4211574000.0,4073732000.0,0.008,1.0,,1.0,2016.0,2016.0,,,,,no_sigma_E,,,,,no_sigma_E
ASB,2018,26860386455.18605,E_pb,False,26860386455.18605,20147751196.09048,,4527056000.0,0.0880665037542206,0.0720166259385551,0.085751606776921,0.194351273,24.804324215350096,4.025895742118389e-136,ok,0.0,-0.29805053,-0.27995053,2.114752569,8.075832362,1.066817217,0.922192982,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,10.4227313,0.134673199,0.923416031,13.47,30.20409,3.342762277,17.52583241,77.9990597,33615.122,4527.056,0.224692868,0.0,0.0,0.0181,4527056000.0,ASB,,,ASB,3281379900.0,0.2131636695631994,0.0880665037542206,3281379900.0,4527056000.0,0.0181,1.0,0.0880665037542206,2.0,2017.0,2016.0,7727233286.93515,0.0373975580331158,0.0,6.0,converged,14.799852151258856,14.76245459322574,14.76245459322574,1.2789941721247826e-49,converged
