instrument,year,E,E_source,weak_E_proxy,E_pb,E_de,E_wacc,F,sigma_E,sigma_D_hat,sigma_V_hat,mu_hat,DD_a,PD_a,naive_status
ABCB,2016,14749059164.192553,E_pb,False,14749059164.192553,4697069318.715835,6076890927.843194,630054000.0,0.19126116464766402,0.09781529116191601,0.1874328589615942,0.044898351,17.191718038746547,1.5315954563773823e-66,insufficient_returns
ABCB,2017,16719599892.468857,E_pb,False,16719599892.468857,3745861983.4189157,7155625066.741166,366742000.0,0.19126116464766402,0.09781529116191601,0.1892554382757122,0.36682797,22.14095033550169,6.375976651614082e-109,insufficient_returns
ABCB,2018,11550541866.87213,E_pb,False,11550541866.87213,3178538293.441459,10574094390.73903,261345000.00000003,0.08676719292247007,0.07169179823061753,0.08643364087696309,0.244120629,46.87301717500705,0.0,ok
ABCB,2019,19988802296.055454,E_pb,False,19988802296.055454,11796836413.748125,16127765801.503132,1546904000.0,0.383442480101192,0.14586062002529798,0.36637703889269274,-0.350110621,6.049042046593509,7.285481546491322e-10,ok
ABCB,2020,19880171636.48633,E_pb,False,19880171636.48633,1744392806.2940605,15464103369.85454,561141000.0,0.3012768673713382,0.12531921684283454,0.2964465977242228,0.033435141,12.09268693346367,5.77241107782369e-34,ok
ABCB,2021,26796601028.930866,E_pb,False,26796601028.930866,6227115243.298344,20927597467.45647,872052000.0,0.19377194617244942,0.09844298654311236,0.1907673976743437,-0.206422953,16.945176812192383,1.0445255472296224e-64,ok
ABCB,2022,23572993609.29107,E_pb,False,23572993609.29107,12310819539.604647,21545869467.53647,2004058000.0,0.21328276331835183,0.10332069082958796,0.20466682218354035,0.218988798,13.409921147430644,2.64475176425864e-41,ok
ABCB,2023,26259325112.403908,E_pb,False,26259325112.403908,4035616571.970253,21754268661.334538,639901000.0,0.2127747218315412,0.1031936804578853,0.21016791754419742,0.015657267,17.757759381447098,7.505416293875597e-71,ok
ACNB,2019,2287812339.595548,E_pb,False,2287812339.595548,582629909.0722051,1468828058.108295,99731000.0,0.19126116464766402,0.09781529116191601,0.18735780077817887,0.044898351,17.095047702334668,8.078189462248028e-66,insufficient_returns
ACNB,2020,2077507509.5904365,E_pb,False,2077507509.5904365,316619464.86877507,1979014228.218817,92209000.0,0.19126116464766402,0.09781529116191601,0.18728988521546125,0.032370998,16.942326070490218,1.0964000319056025e-64,insufficient_returns
ACNB,2021,2710810000.8759003,E_pb,False,2710810000.8759003,382690521.5279295,2356542491.7442203,69902000.0,0.19983179876013926,0.09995794969003483,0.19732115335870992,-0.250233842,17.300052778400676,2.3497908327763886e-67,ok
ACNB,2022,3406653858.2968802,E_pb,False,3406653858.2968802,387238843.29517263,2172345526.919239,62954000.0,0.23360292448647044,0.1084007311216176,0.23133120410681923,0.213267053,18.138074206878876,7.97618522739781e-74,ok
ACNB,2023,2974987926.259801,E_pb,False,2974987926.259801,1278710141.925802,2020403835.2101846,252174000.0,0.2495367917793258,0.11238419794483145,0.23881953649808726,0.141769598,11.148548797427972,3.6391849654082483e-29,ok
ALRS,2020,4195141354.6484404,E_pb,False,4195141354.6484404,335531388.1173171,2564800849.647486,58735000.0,0.19126116464766402,0.09781529116191601,0.18997091948734388,0.044898351,22.684545697298738,3.1830424580538233e-114,insufficient_returns
ALRS,2021,4674870866.014622,E_pb,False,4674870866.014622,513915729.2440479,3043660884.3977866,58933000.0,0.19126116464766402,0.09781529116191601,0.19009781994264313,-0.011396487,22.91776979148782,1.5450226846369263e-116,insufficient_returns
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.05984529865346604,0.06496132466336652,0.06031008239186774,0.073237546,40.95467661526021,0.0,ok
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.06661836536038111,0.06665459134009528,0.06662130123127,-0.058196417,36.81040053656623,6.293536652802008e-297,ok
AMTB,2020,4844532151.420632,E_pb,False,4844532151.420632,3526162012.609177,5831434694.579396,1172755000.0,0.19126116464766402,0.09781529116191601,0.1730487854471957,0.044898351,9.622756047534168,3.2045238540523104e-22,insufficient_returns
AMTB,2021,9962550465.77475,E_pb,False,9962550465.77475,6935240297.801091,6732953472.991133,932649000.0,0.19126116464766402,0.09781529116191601,0.18326202697841967,-0.430993268,10.969336696880765,2.68323117178059e-28,insufficient_returns
AMTB,2022,10346042481.421167,E_pb,False,10346042481.421167,5824692077.58551,7723388374.715272,1059157999.9999999,0.44376674136084815,0.16094168534021203,0.4175018439421069,0.496432825,6.6727228913842636,1.2555013019211047e-11,ok
AMTB,2023,10003318498.011852,E_pb,False,10003318498.011852,3064952620.566017,7708834883.924403,798158000.0,0.44376674136084815,0.16094168534021203,0.42286783174373527,0.216892544,6.462103004804051,5.162888468582289e-11,ok
AROW,2017,4769586053.469014,E_pb,False,4769586053.469014,1438097028.1245813,2358685590.474387,244966000.0,0.19126116464766402,0.09781529116191601,0.1866962380898723,0.044898351,16.317685825759398,3.6941893812899573e-60,insufficient_returns
AROW,2018,4530566669.11395,E_pb,False,4530566669.11395,2289691431.8392067,2588518976.451369,353659000.0,0.19126116464766402,0.09781529116191601,0.18449489781030648,0.1238279,14.809307014345254,6.377424688491391e-50,insufficient_returns
AROW,2019,5539087313.821926,E_pb,False,5539087313.821926,1202676685.1848538,2661274705.0416527,236353000.0,0.18658903932246731,0.09664725983061684,0.18290827937116766,-0.14004885,16.616343274454913,2.653631194155672e-62,ok
AROW,2020,4997506647.55713,E_pb,False,4997506647.55713,343667096.45528054,2938689617.8227844,87703000.0,0.1430282351933737,0.08575705879834343,0.14204049735531107,0.087534827,29.129597421391164,7.574755608317731e-187,ok
AROW,2021,6025606149.181461,E_pb,False,6025606149.181461,1439854214.1708708,3840777815.0846605,70169000.0,0.14269299576886,0.08567324894221501,0.14203663648441098,-0.175381542,30.12586016192352,1.1110293773245335e-199,ok
AROW,2022,6173197402.58115,E_pb,False,6173197402.58115,1514340694.0079827,3770520599.329345,79919000.0,0.20605737137170568,0.10151434284292643,0.20472124171105474,0.230913245,22.321960508465704,1.1307637419567862e-110,ok
ASB,2016,32410401528.54878,E_pb,False,32410401528.54878,6887849352.465166,,3853830000.0,0.19126116464766402,0.09781529116191601,0.18133059407064586,0.044898351,12.519797939258158,2.9091538991120843e-36,insufficient_returns
ASB,2017,33315540393.295376,E_pb,False,33315540393.295376,14312299281.082872,,4073732000.0,0.19126116464766402,0.09781529116191601,0.18107980992424055,0.318896117,13.912790528762482,2.648585413089363e-44,insufficient_returns
ASB,2018,26860386455.18605,E_pb,False,26860386455.18605,20147751196.09048,,4527056000.0,0.08806650375422069,0.07201662593855518,0.08575160677692109,0.194351273,24.804324215350096,4.025895742118389e-136,ok
ASB,2019,26642421482.820114,E_pb,False,26642421482.820114,15219372903.967215,,4195423000.0,0.31598811294076073,0.1289970282351902,0.2905483745048999,-0.27995053,5.7566619583516205,4.289673447740377e-09,ok
ASB,2020,21703507651.020733,E_pb,False,21703507651.020733,2656033338.405261,,2434505000.0,0.24269403894707955,0.1106735097367699,0.22937874894736396,0.046528639,10.08927714640292,3.081080539833009e-24,ok
ASB,2021,28949505738.033516,E_pb,False,28949505738.033516,12750926542.02518,,2224633000.0,0.17709714912800753,0.09427428728200188,0.17118678627354722,-0.235659316,13.959518631235527,1.376434263505768e-44,ok
ASB,2022,31117832056.516445,E_pb,False,31117832056.516445,29250855651.592705,,5173869000.0,0.2414524160961223,0.11036310402403057,0.22276387551476703,0.244809493,9.732125307267017,1.0997433223998462e-22,ok
