instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_solver_status,m_equity_vol,m_sigma_E_method,m_sigma_E_window_months,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m
ACNB,2021,2710810000.8759003,E_pb,False,2710810000.8759003,382690521.5279295,2356542491.7442203,69902000.0,0.2841602710554291,0.1210400677638572,0.2800597282998702,-0.250233842,12.118548714866606,4.21187904869718e-34,ok,1.0,0.212867053,0.213267053,0.995293178,1.437059699,0.095294081,0.083041556,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,7.932716363,0.025081567,0.99769054,18.71,19.22291,1.008905854,15.44479785,84.55520215,2786.987,69.902,0.182659345,0.0,0.0,0.0004,69902000.0,ACNB,,,ACNB,271485563.68,0.2841602710554291,converged,0.2841602710554291,monthly36,36.0,2020.0,2018.0,271485563.68,69902000.0,0.0004,1.0,0.2841602710554291,341359608.47140884,0.2259945507567142,0.0,5.0,converged,7.131937446578111,6.905942895821397,6.905942895821397,2.4935528831226067e-12
ACNB,2022,3406653858.29688,E_pb,False,3406653858.29688,387238843.29517263,2172345526.919239,62954000.0,0.2780077239642558,0.1195019309910639,0.2751317292990453,0.213267053,15.2102081642165,1.5128973789542338e-52,ok,1.0,0.127569598,0.141769598,3.905756544,5.499492672,0.387979876,0.342944255,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,7.834197114,0.024927272,1.38338296,17.32,19.22291,4.684263449,13.98378516,86.01621484,2525.507,62.954,0.162571501,0.0,0.0,0.0141999999999999,62954000.0,ACNB,,,ACNB,338986927.20000005,0.2780077239642558,converged,0.2780077239642558,monthly36,36.0,2021.0,2019.0,338986927.20000005,62954000.0,0.0141999999999999,1.0,0.2780077239642558,401053297.4990228,0.2349836945318312,0.0,7.0,converged,8.058000369337394,7.823016674805563,7.823016674805563,2.5786135149905826e-15
ACNB,2023,2974987926.259801,E_pb,False,2974987926.259801,1278710141.925802,2020403835.2101848,252174000.0,0.3198757042116029,0.1299689260529007,0.3050361786564364,0.141769598,8.669414619727686,2.171737987777822e-18,ok,1.0,0.024222961,0.073722961,3.981961066,5.748060666,0.584907718,0.504535153,15.2370401,19.45467306,33.20644915,21.77666183,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,7.791046259,0.104253804,1.373067337,17.41,19.22291,4.853334129,16.47244182,83.52755818,2418.847,252.174,0.197209666,0.0,0.0,0.0495,252174000.0,ACNB,,,ACNB,380972636.28,0.3198757042116029,converged,0.3198757042116029,monthly36,36.0,2022.0,2020.0,380972636.28,252174000.0,0.0495,1.0,0.3198757042116029,620967923.6359861,0.1962483612409907,0.0,6.0,converged,4.94229254154278,4.746044180301789,4.746044180301789,1.0371671129298045e-06
ALRS,2020,4195141354.64844,E_pb,False,4195141354.64844,335531388.1173171,2564800849.647486,58735000.0,0.1573298640320293,0.0893324660080073,0.1563909963170388,0.044898351,27.592505381713483,6.84369027997435e-168,ok,1.0,-0.015796487,-0.011396487,1.81125748,5.538694633,0.861756247,0.766357457,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,22.06022092,39.43171869,75.21277725,46.89042848,46.89042848,8.010947398,0.019488873,1.41965829,16.79,28.88722,2.560659561,14.89728816,85.10271184,3013.771,58.735,0.175050687,0.0,0.0,0.0044,58735000.0,ALRS,,,ALRS,694259209.0,0.1573298640320293,converged,0.1573298640320293,monthly36,36.0,2019.0,2017.0,694259209.0,58735000.0,0.0044,1.0,0.1573298640320293,752736342.7218543,0.1451075240595294,0.0,4.0,converged,17.68073251983143,17.5356249957719,17.5356249957719,3.8301360867856456e-69
ALRS,2021,4674870866.014622,E_pb,False,4674870866.014622,513915729.2440479,3043660884.3977866,58933000.0,0.2420466181692361,0.110511654542309,0.2404090872890325,-0.011396487,18.076639490887302,2.4343210990275172e-73,ok,1.0,0.072837546,0.073237546,1.706068707,1.581584816,0.670397237,0.616689287,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,8.129378691,0.017370577,1.402282609,18.64,24.05389,2.159907368,10.28770718,89.71229282,3392.691,58.933,0.114674443,0.0,0.0,0.0004,58933000.0,ALRS,,,ALRS,742707696.0,0.2420466181692361,converged,0.2420466181692361,monthly36,36.0,2020.0,2018.0,742707696.0,58933000.0,0.0004,1.0,0.2420466181692361,801617127.514038,0.2242590383132805,0.0,4.0,converged,11.75326519416022,11.52900615584694,11.52900615584694,4.711257351145879e-31
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.2665454790475369,0.1166363697618842,0.2529264481631316,0.073237546,9.646332748696446,2.5472535278902626e-22,ok,1.0,-0.072396417,-0.058196417,3.368981311,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0.0,0.0,0.0141999999999999,436923000.0,ALRS,,,ALRS,592289095.0,0.2665454790475369,converged,0.2665454790475369,monthly36,36.0,2021.0,2019.0,592289095.0,436923000.0,0.0141999999999999,1.0,0.2665454790475369,1023051631.038818,0.1543147747382825,0.0,7.0,converged,5.6825069604831375,5.528192185744855,5.528192185744855,1.6177375172826085e-08
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.2726258193345748,0.1181564548336437,0.2601071210400962,-0.058196417,9.306735296563089,6.591094957138624e-21,ok,1.0,-0.048601476,0.000898524,3.38636152,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0.0,0.0,0.0495,373126000.0,ALRS,,,ALRS,567938023.0,0.2726258193345748,converged,0.2726258193345748,monthly36,36.0,2022.0,2020.0,567938023.0,373126000.0,0.0495,1.0,0.2726258193345748,923043961.738074,0.1677434400986768,0.0,6.0,converged,5.7786440329442295,5.610900592845553,5.610900592845553,1.0063818317629254e-08
AMTB,2020,4844532151.420632,E_pb,False,4844532151.420632,3526162012.609177,5831434694.579396,1172755000.0,,,,0.044898351,,,invalid_sigmaV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTB,2021,9962550465.77475,E_pb,False,9962550465.77475,6935240297.801091,6732953472.991133,932649000.0,,,,-0.430993268,,,invalid_sigmaV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTB,2022,10346042481.421167,E_pb,False,10346042481.421167,5824692077.58551,7723388374.715272,1059158000.0,,,,0.496432825,,,invalid_sigmaV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMTB,2023,10003318498.011852,E_pb,False,10003318498.011852,3064952620.566017,7708834883.924403,798158000.0,,,,0.216892544,,,invalid_sigmaV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROW,2017,4769586053.469014,E_pb,False,4769586053.469014,1438097028.124581,2358685590.474387,244966000.0,0.1801971392556177,0.0950492848139044,0.1760375794208087,0.044898351,17.31666440771146,1.7609489444012732e-67,ok,0.0,0.1158279,0.1238279,1.446312422,5.013335612,0.619601145,0.553659664,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.23117591,7.923154423,0.088740846,1.896079487,15.0,30.08052,1.917215905,14.55477282,85.44522718,2760.465,244.966,0.170340384,0.0,0.0,0.008,244966000.0,AROW,,,AROW,468535590.2864,0.1801971392556177,converged,0.1801971392556177,monthly36,36.0,2016.0,2014.0,468535590.2864,244966000.0,0.008,1.0,0.1801971392556177,711549680.3365262,0.1186547831489296,0.0,5.0,converged,9.113541524074526,8.994886740925596,8.994886740925596,1.1823795430461166e-19
AROW,2018,4530566669.11395,E_pb,False,4530566669.11395,2289691431.8392067,2588518976.451369,353659000.0,0.1948206759285628,0.0987051689821407,0.1878611051851145,0.1238279,14.540608966394275,3.349700604285901e-48,ok,0.0,-0.15814885,-0.14004885,1.635243053,6.05340398,0.622665674,0.561684289,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,8.00247132,0.118346544,1.719592234,14.9,29.7094,2.498989189,13.37919468,86.62080532,2988.334,353.659,0.154457057,0.0,0.0,0.0181,353659000.0,AROW,,,AROW,455157045.8032,0.1948206759285628,converged,0.1948206759285628,monthly36,36.0,2017.0,2015.0,455157045.8032,353659000.0,0.0181,1.0,0.1948206759285628,802472401.0852278,0.1105010014088893,0.0,7.0,converged,7.634044181446851,7.5235431800379615,7.5235431800379615,2.665569119391571e-14
AROW,2019,5539087313.821926,E_pb,False,5539087313.821926,1202676685.1848538,2661274705.0416527,236353000.0,0.2038831669993971,0.1009707917498492,0.199671600901286,-0.14004885,15.205267495702676,1.6314759987405377e-52,ok,0.0,0.066134827,0.087534827,1.285904064,4.732924173,0.594509045,0.522352876,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,8.065979913,0.074225059,1.878980283,14.8,29.7094,1.725332219,16.42447009,83.57552991,3184.275,236.353,0.196522476,0.0,0.0,0.0214,236353000.0,AROW,,,AROW,553437861.392,0.2038831669993971,converged,0.2038831669993971,monthly36,36.0,2018.0,2016.0,553437861.392,236353000.0,0.0214,1.0,0.2038831669993971,784786643.3017656,0.1437800514089244,0.0,5.0,converged,8.567404018777864,8.42362396736894,8.42362396736894,1.8250724431068902e-17
