instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,F,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,solver_status,equity_vol,sigma_E_method,sigma_E_window_months,sigmaE_window_end_year,sigmaE_window_start_year,E_t,F_t,rf_t,T,sigma_E_tminus1,asset_value,asset_vol,solver_cost,nfev,status_flag,d1,d2,DD_m,PD_m
ACNB,2021,1,0.212867053,0.213267053,0.995293178,1.437059699,0.095294081,0.083041556,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,7.932716363,0.025081567,0.99769054,18.71,19.22291,1.008905854,15.44479785,84.55520215,2786.987,69.902,0.182659345,0,0,0.0004,69902000.0,ACNB,,,ACNB,271485563.68,0.2841602710554291,converged,0.2841602710554291,monthly36,36,2020,2018,271485563.68,69902000.0,0.0004,1.0,0.2841602710554291,341359608.47140884,0.22599455075671424,0.0,5,converged,7.131937446578111,6.905942895821397,6.905942895821397,2.4935528831226067e-12
ACNB,2022,1,0.127569598,0.141769598,3.905756544,5.499492672,0.387979876,0.342944255,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,17.43215031,23.75423574,45.29309847,28.08761638,28.08761638,7.834197114,0.024927272,1.38338296,17.32,19.22291,4.684263449,13.98378516,86.01621484,2525.507,62.954,0.162571501,0,0,0.014199999999999999,62954000.0,ACNB,,,ACNB,338986927.20000005,0.2780077239642558,converged,0.2780077239642558,monthly36,36,2021,2019,338986927.20000005,62954000.0,0.014199999999999999,1.0,0.2780077239642558,401053297.4990228,0.2349836945318312,0.0,7,converged,8.058000369337394,7.823016674805563,7.823016674805563,2.5786135149905822e-15
ACNB,2023,1,0.024222961,0.073722961,3.981961066,5.748060666,0.584907718,0.504535153,15.2370401,19.45467306,33.20644915,21.77666183,21.77666183,17.26625006,20.99279741,42.17970205,25.79475059,25.79475059,7.791046259,0.104253804,1.373067337,17.41,19.22291,4.853334129,16.47244182,83.52755818,2418.847,252.174,0.197209666,0,0,0.0495,252174000.0,ACNB,,,ACNB,380972636.28,0.3198757042116029,converged,0.3198757042116029,monthly36,36,2022,2020,380972636.28,252174000.0,0.0495,1.0,0.3198757042116029,620967923.6359861,0.19624836124099077,0.0,6,converged,4.94229254154278,4.746044180301789,4.746044180301789,1.0371671129298045e-06
ALRS,2020,1,-0.015796487,-0.011396487,1.81125748,5.538694633,0.861756247,0.766357457,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,22.06022092,39.43171869,75.21277725,46.89042848,46.89042848,8.010947398,0.019488873,1.41965829,16.79,28.88722,2.560659561,14.89728816,85.10271184,3013.771,58.735,0.175050687,0,0,0.0044,58735000.0,ALRS,,,ALRS,694259209.0,0.1573298640320293,converged,0.1573298640320293,monthly36,36,2019,2017,694259209.0,58735000.0,0.0044,1.0,0.1573298640320293,752736342.7218543,0.14510752405952945,0.0,4,converged,17.68073251983143,17.5356249957719,17.5356249957719,3.8301360867856456e-69
ALRS,2021,1,0.072837546,0.073237546,1.706068707,1.581584816,0.670397237,0.616689287,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,8.129378691,0.017370577,1.402282609,18.64,24.05389,2.159907368,10.28770718,89.71229282,3392.691,58.933,0.114674443,0,0,0.0004,58933000.0,ALRS,,,ALRS,742707696.0,0.2420466181692361,converged,0.2420466181692361,monthly36,36,2020,2018,742707696.0,58933000.0,0.0004,1.0,0.2420466181692361,801617127.514038,0.22425903831328053,0.0,4,converged,11.753265194160221,11.52900615584694,11.52900615584694,4.711257351145879e-31
ALRS,2022,1,-0.072396417,-0.058196417,3.368981311,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0,0,0.014199999999999999,436923000.0,ALRS,,,ALRS,592289095.0,0.2665454790475369,converged,0.2665454790475369,monthly36,36,2021,2019,592289095.0,436923000.0,0.014199999999999999,1.0,0.2665454790475369,1023051631.038818,0.1543147747382825,0.0,7,converged,5.6825069604831375,5.528192185744855,5.528192185744855,1.6177375172826085e-08
ALRS,2023,1,-0.048601476,0.000898524,3.38636152,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0,0,0.0495,373126000.0,ALRS,,,ALRS,567938023.0,0.2726258193345748,converged,0.2726258193345748,monthly36,36,2022,2020,567938023.0,373126000.0,0.0495,1.0,0.2726258193345748,923043961.738074,0.1677434400986768,0.0,6,converged,5.7786440329442295,5.610900592845553,5.610900592845553,1.0063818317629254e-08
AROW,2017,0,0.1158279,0.1238279,1.446312422,5.013335612,0.619601145,0.553659664,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.23117591,7.923154423,0.088740846,1.896079487,15.0,30.08052,1.917215905,14.55477282,85.44522718,2760.465,244.966,0.170340384,0,0,0.008,244966000.0,AROW,,,AROW,468535590.2864,0.1801971392556177,converged,0.1801971392556177,monthly36,36,2016,2014,468535590.2864,244966000.0,0.008,1.0,0.1801971392556177,711549680.3365262,0.1186547831489296,0.0,5,converged,9.113541524074526,8.994886740925596,8.994886740925596,1.1823795430461166e-19
AROW,2018,0,-0.15814885,-0.14004885,1.635243053,6.05340398,0.622665674,0.561684289,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,8.00247132,0.118346544,1.719592234,14.9,29.7094,2.498989189,13.37919468,86.62080532,2988.334,353.659,0.154457057,0,0,0.0181,353659000.0,AROW,,,AROW,455157045.8032,0.1948206759285628,converged,0.1948206759285628,monthly36,36,2017,2015,455157045.8032,353659000.0,0.0181,1.0,0.1948206759285628,802472401.0852278,0.11050100140888937,0.0,7,converged,7.634044181446851,7.5235431800379615,7.5235431800379615,2.665569119391571e-14
AROW,2019,0,0.066134827,0.087534827,1.285904064,4.732924173,0.594509045,0.522352876,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,8.065979913,0.074225059,1.878980283,14.8,29.7094,1.725332219,16.42447009,83.57552991,3184.275,236.353,0.196522476,0,0,0.021400000000000002,236353000.0,AROW,,,AROW,553437861.392,0.2038831669993971,converged,0.2038831669993971,monthly36,36,2018,2016,553437861.392,236353000.0,0.021400000000000002,1.0,0.2038831669993971,784786643.3017656,0.14378005140892444,0.0,5,converged,8.567404018777864,8.42362396736894,8.42362396736894,1.82507244310689e-17
