instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m
CBNK,2020,1.0,-0.183111424,-0.178711424,1.102641866,5.665651569,0.877731256,0.810279252,18.99807322,25.30722212,36.97875768,25.86473493,25.86473493,20.28455285,26.57072155,29.84505996,23.92329947,23.92329947,7.537213178,0.019192228,1.202595295,13.4,38.48625,2.04840603,11.91973359,88.08026641,1876.593,36.016,0.135328083,0.0,0.0,20.37409764155802,1.4194984445908015e-92,11.175114744524,2.699028250247765e-29
CBNK,2021,1.0,0.151744883,0.152144883,1.514828753,1.528815805,0.967851807,0.943208093,17.43215031,25.51192986,50.68075902,30.89899046,30.89899046,18.99807322,25.30722212,36.97875768,25.86473493,25.86473493,7.628177102,0.016572763,1.848446718,13.79,28.06919,1.901850616,3.505003738,96.49499626,2055.3,34.062,0.036323166,0.0,0.0,16.573575311288664,5.4098445235143074e-62,10.250126545527024,5.909435084477701e-25
CBNK,2022,1.0,0.076304498,0.090504498,3.294985693,6.297499856,0.546843365,0.532293324,15.8938172,22.32307711,41.89864947,26.15576006,26.15576006,17.43215031,25.51192986,50.68075902,30.89899046,30.89899046,7.66089394,0.056064662,1.485739949,14.21,26.50767,4.364709479,3.58600785,96.41399215,2123.655,119.062,0.037193853,0.0,0.0,13.169082763649548,6.609695337959606e-40,7.163729641118078,3.9255584821545933e-13
FNLC,2018,0.0,-0.163023573,-0.144923573,-0.144923573,6.854896849,0.662863034,0.662863034,21.58687943,25.31041655,70.75616256,38.02618513,38.02618513,22.15799615,26.87455264,75.3042782,40.43931826,40.43931826,7.572796152,0.108156045,1.491514766,15.19,24.72519,0.0,0.0,100.0,1944.57,210.317,0.0,0.0,0.0,10.142235472060683,1.7939667950742295e-24,5.554720050093081,1.3902851527932526e-08
FNLC,2019,0.0,0.009576097,0.030976097,0.030976097,5.675130103,0.65578422,0.65578422,20.28455285,23.83016126,64.67473204,35.10266352,35.10266352,21.58687943,25.31041655,70.75616256,38.02618513,38.02618513,7.634722075,0.089402242,1.550450422,15.27,24.72519,0.0,0.0,100.0,2068.796,184.955,0.0,0.0,0.0,10.891535808920583,6.324448087436428e-28,6.359545770155268,1.0117561519388077e-10
FNLC,2020,1.0,-0.234541066,-0.230141066,-0.230141066,4.366069083,0.577401088,0.577401088,18.99807322,22.14388071,66.68378133,34.98952611,34.98952611,20.28455285,23.83016126,64.67473204,35.10266352,35.10266352,7.76694049,0.11097493,1.243205263,14.82,24.72519,0.0,0.0,100.0,2361.236,262.038,0.0,0.0,0.0,11.379945463503356,2.6316317879865698e-30,6.316741129847591,1.3356825013013303e-10
FNLC,2021,1.0,0.201270386,0.201670386,0.201670386,1.515266,0.529606677,0.529606677,17.43215031,20.60250835,62.73654827,32.80400152,32.80400152,18.99807322,22.14388071,66.68378133,34.98952611,34.98952611,7.834827284,0.053951982,1.405867616,14.27,15.87907,0.0,0.0,100.0,2527.099,136.342,0.0,0.0,0.0,15.193004696765842,1.9673137751089422e-52,8.684589712519452,1.900559287603841e-18
FNLC,2022,1.0,0.101901885,0.116101885,0.116101885,6.257118997,0.522655234,0.522655234,17.26625006,22.12329152,72.41089298,37.2387044,37.2387044,17.43215031,20.60250835,62.73654827,32.80400152,32.80400152,7.915413154,0.037778852,1.444559388,13.58,15.87907,0.0,0.0,100.0,2739.178,103.483,0.0,0.0,0.0,17.9451127179631,2.6202075799287456e-72,8.697804866949824,1.6918286662184072e-18
FNLC,2023,1.0,0.006176513,0.055676513,0.055676513,5.760885143,0.538415185,0.538415185,18.32471056,28.64871722,76.36546852,42.31877925,42.31877925,17.26625006,22.12329152,72.41089298,37.2387044,37.2387044,7.9884405,0.023637305,1.288417216,13.66,15.87907,0.0,0.0,100.0,2946.698,69.652,0.0,0.0,0.0,18.5876533876096,2.022457054283887e-77,9.434851698693898,1.957738694812354e-21
RRBI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
