model,dependent_var,n_obs,r_squared,adj_r_squared,f_statistic,prob_f
Dummies → DD_a,DD_a,1367,0.006501555069112874,0.0050448124812376705,4.463077501287338,0.01169565955685099
Dummies → PD_a,PD_a,1367,0.0009374412700129398,-0.000527459842494471,0.6399348474849818,0.5274850247976735
Dummies → DD_m,DD_m,914,0.014619631168608427,0.012456337274357354,6.758042079931679,0.0012206161258947932
Dummies → PD_m,PD_m,914,0.00024981467094775667,-0.0019450265701697056,0.11381901627682173,0.89243214318574
