year,metric,p10,p25,p50,p75,p90
2016,DD_m,5.476169524447997,6.515712849488551,7.843591320644915,9.107503280610265,11.402631163190918
2017,DD_m,4.7087462060040615,5.567261375695827,7.1156518114929,8.551055079529558,10.21541566051236
2018,DD_m,5.098444961453473,5.9317102664638695,7.065331187762855,8.304749813392226,11.461487653384504
2019,DD_m,5.244325053352086,6.09151940971933,7.658578656014353,8.98045624366536,12.05151896277169
2020,DD_m,5.235377663382369,6.194742722307003,7.5599662661269935,9.75501692996418,13.206590454838356
2021,DD_m,1.9282825805664694,2.321137655492805,2.8790425016283487,3.6193815723433005,4.5561599272649556
2022,DD_m,4.050000981192437,4.566353158248582,5.665929251843539,6.8096190396677505,8.629618668510187
2023,DD_m,4.3784792197124585,4.947104264621446,5.9502580567432775,7.6947681299367,9.357699071215384
2016,PD_m,1.4329826702635266e-29,4.216353681832276e-20,2.1895785079983832e-15,5.020230263517883e-11,2.1959739320062972e-08
2017,PD_m,8.4576301988976e-25,9.406358681195848e-18,5.569258344853168e-13,1.308464209493888e-08,1.2462258863006994e-06
2018,PD_m,1.786526653369414e-30,5.003886219371222e-17,8.021347139403347e-13,1.4989800830151942e-09,1.7122761834659746e-07
2019,PD_m,9.533590017679082e-34,1.4384817794645656e-19,9.44726166669117e-15,5.595152373586679e-10,7.86741913809269e-08
2020,PD_m,1.0522183850450384e-38,9.456329953478745e-23,2.015875386425167e-14,2.924398565497828e-10,8.232468602269875e-08
2021,PD_m,2.6048638199469735e-06,0.0001476539606199139,0.0019944228680013843,0.010139707829059279,0.026909993652557595
2022,PD_m,3.137798967573113e-18,4.892876591430238e-12,7.311492781754993e-09,2.4814119935422877e-06,2.5608924775504763e-05
2023,PD_m,4.495022803653624e-21,7.099055128337295e-15,1.338600236000693e-09,3.8461700007893493e-07,5.999895397565964e-06
overall,DD_m,3.238557697787977,4.868897599095577,6.373289673023608,8.179848994588136,10.490272617929975
overall,PD_m,4.814400016973684e-26,1.4209997617911862e-16,9.2511570114204e-11,5.611130149333586e-07,0.000600696907703574
