instrument,year,total_months,valid_months,has_annual_backup,annual_return
MCBS,2016,0,0,False,
MSBI,2013,0,0,False,
MSBI,2014,0,0,False,
MSBI,2015,0,0,False,
MSBI,2016,8,8,False,
MYFW,2013,0,0,False,
MYFW,2014,0,0,False,
MYFW,2015,0,0,False,
MYFW,2016,0,0,False,
MYFW,2017,0,0,False,
MYFW,2018,6,6,False,
NIC,2013,8,8,False,
OBK,2013,0,0,False,
OBK,2014,0,0,False,
OBK,2015,0,0,False,
OBK,2016,0,0,False,
OBK,2017,0,0,False,
OBK,2018,8,8,False,
PCB,2013,8,8,True,100.0
PCB,2014,8,8,True,122.2222222
PDLB,2013,0,0,False,
PDLB,2014,0,0,False,
PDLB,2015,0,0,False,
PDLB,2016,0,0,False,
PDLB,2017,3,3,False,
PFIS,2013,0,0,False,
PVBC,2013,0,0,False,
PVBC,2014,0,0,False,
PVBC,2015,6,6,False,
RBB,2013,0,0,False,
RBB,2014,0,0,False,
RBB,2015,0,0,False,
RBB,2016,0,0,False,
RBB,2017,6,6,False,
RMBI,2013,0,0,False,
RMBI,2014,0,0,False,
RMBI,2015,0,0,False,
RMBI,2016,0,0,False,
RMBI,2017,0,0,False,
RMBI,2018,0,0,False,
RMBI,2019,6,6,False,
RNST,2013,0,0,False,
RNST,2014,0,0,False,
RNST,2015,0,0,False,
RNST,2016,0,0,False,
RNST,2017,0,0,False,
RNST,2018,0,0,False,
RNST,2019,0,0,False,
RNST,2020,0,0,False,
RNST,2021,0,0,False,
RNST,2022,0,0,False,
RNST,2023,3,3,False,
RRBI,2013,0,0,False,
RRBI,2014,0,0,False,
RRBI,2015,0,0,False,
RRBI,2016,0,0,False,
RRBI,2017,0,0,False,
RRBI,2018,0,0,False,
RRBI,2019,8,8,False,
SFBS,2013,0,0,False,
SFBS,2014,0,0,False,
SFBS,2015,0,0,False,
SFBS,2016,0,0,False,
SFBS,2017,0,0,False,
SFBS,2018,0,0,False,
SFBS,2019,0,0,False,
SFBS,2020,0,0,False,
SFBS,2021,7,7,False,
SPFI,2013,0,0,False,
SPFI,2014,0,0,False,
SPFI,2015,0,0,False,
SPFI,2016,0,0,False,
SPFI,2017,0,0,False,
SPFI,2018,0,0,False,
SPFI,2019,8,8,False,
SSB,2013,0,0,False,
SSB,2014,0,0,False,
SSB,2015,0,0,False,
SSB,2016,0,0,False,
SSB,2017,0,0,False,
SSB,2018,0,0,False,
SSB,2019,0,0,False,
SSB,2020,0,0,False,
SSB,2021,0,0,False,
