ticker,year,sigma_E_daily,method,days_used,flag,size_bucket,sigma_E_annual,delta,delta_pct,higher_daily
ABCB,2016,0.2391603397935335,daily_252,252,,small,0.2033440081968736,0.035816331596659895,17.61366460426178,True
ABCB,2017,0.2546242451305512,daily_252,252,,small,0.2422644331164355,0.012359812014115706,5.101785621241157,True
ABCB,2018,0.2596273294476337,daily_252,251,,small,0.2442752122708268,0.015352117176806929,6.284762597928319,True
ABCB,2019,0.2863224626172957,daily_252,251,,small,0.3154915228659216,-0.029169060248625867,-9.245592396161532,False
ABCB,2020,0.25470125808134,daily_252,252,,small,0.3220590300398134,-0.06735777195847342,-20.914728567041436,False
ABCB,2021,0.7376649048422735,daily_252,253,,small,0.4277487200730229,0.30991618476925065,72.45286080957611,True
ABCB,2022,0.3412052307217205,daily_252,252,,small,0.3948476285305778,-0.05364239780885732,-13.585594526295386,False
ABCB,2023,0.3190023758500551,daily_252,251,,small,0.3886298423962624,-0.06962746654620733,-17.916139974452193,False
ACNB,2019,0.2903463279511778,daily_252,251,,small,0.1919254518593882,0.09842087609178962,51.280783834702895,True
ACNB,2020,0.2419977785685187,daily_252,252,,small,0.2094796144592121,0.03251816410930661,15.523307216912144,True
ACNB,2021,0.8653598329847328,daily_252,253,,small,0.2841602710554291,0.5811995619293038,204.53230839434738,True
ACNB,2022,0.2871137941908202,daily_252,252,,small,0.2780077239642558,0.0091060702265644,3.275473823790303,True
ACNB,2023,0.2820453516864416,daily_252,251,,small,0.3198757042116029,-0.03783035252516126,-11.82657889519983,False
ALRS,2020,0.1751370269219032,daily_252,252,,small,0.1573298640320293,0.017807162889873884,11.318361583436372,True
ALRS,2021,0.4561830221955594,daily_252,253,,small,0.2420466181692361,0.2141364040263233,88.46907494348947,True
ALRS,2022,0.4050453207978267,daily_252,252,,small,0.2665454790475369,0.1384998417502898,51.961054543187025,True
ALRS,2023,0.2992745855226287,daily_252,251,,small,0.2726258193345748,0.026648766188053896,9.774850472012597,True
AROW,2017,0.2394821667222893,daily_252,252,,small,0.1801971392556177,0.05928502746667161,32.900093592814,True
AROW,2018,0.2366435924379933,daily_252,251,,small,0.1948206759285628,0.041822916509430486,21.46739113294432,True
AROW,2019,0.232554383096372,daily_252,251,,small,0.2038831669993971,0.0286712160969749,14.062571480979438,True
AROW,2020,0.2210767499753025,daily_252,252,,small,0.1956713657963584,0.025405384178944085,12.983700540724133,True
AROW,2021,0.5816109351339804,daily_252,253,,small,0.2140732560355588,0.3675376790984216,171.68780720435788,True
AROW,2022,0.2461805327666392,daily_252,252,,small,0.2097232254602229,0.0364573073064163,17.38353357212264,True
ASB,2016,0.235476086166865,daily_252,252,,small,0.1898293715629111,0.04564671460395389,24.04618117214078,True
ASB,2017,0.2693993840025863,daily_252,252,,small,0.1992386805907359,0.07016070341185038,35.21439873212685,True
ASB,2018,0.2269424697362276,daily_252,251,,small,0.2081515816519564,0.01879088808427118,9.027501946005302,True
ASB,2019,0.2450793025273925,daily_252,251,,small,0.2089709386065134,0.0361083639208791,17.279131807351533,True
ASB,2020,0.2276159131740882,daily_252,252,,small,0.2237289104844829,0.00388700268960529,1.737371661618528,True
ASB,2021,0.6353157835712371,daily_252,253,,small,0.3100499803819582,0.3252658031892789,104.9075387099125,True
ASB,2022,0.3144412545759421,daily_252,252,,small,0.3097415187606213,0.0046997358153207935,1.5173089594594866,True
ASB,2023,0.3028700267292935,daily_252,251,,small,0.3250455693760349,-0.02217554264674143,-6.822287314763319,False
ATLO,2018,0.259397758668954,daily_252,251,,small,0.1741587146768899,0.08523904399206408,48.94331251250038,True
ATLO,2019,0.2381159534138198,daily_252,251,,small,0.1838264391957041,0.0542895142181157,29.533028249716764,True
ATLO,2021,0.6176863949234803,daily_252,253,,small,0.2649843694916539,0.35270202543182644,133.102954754822,True
ATLO,2022,0.1991968434027569,daily_252,252,,small,0.257759817413165,-0.05856297401040811,-22.719978078094737,False
ATLO,2023,0.1672680866178351,daily_252,251,,small,0.2456442980862369,-0.07837621146840179,-31.906383367745306,False
AUB,2023,0.2671130394526987,imputed_peer,0,no_daily_data,small,,,,False
AUBN,2018,0.3008817103075334,daily_252,251,,small,0.153730516017782,0.1471511942897514,95.72022400076405,True
AUBN,2019,0.3885886926174602,daily_252,251,,small,0.2453331620553263,0.14325553056213391,58.392240723586994,True
AUBN,2020,0.4028250903936931,daily_252,252,,small,0.3040106593279699,0.09881443106572319,32.503607368293345,True
AUBN,2021,0.6952406175495691,daily_252,253,,small,0.427635431704861,0.2676051858447081,62.57787966208558,True
AUBN,2022,0.2814576928374213,daily_252,252,,small,0.3914345668324941,-0.10997687399507283,-28.095851341134885,False
BAC,2016,0.2568377087277409,daily_252,252,,large,0.2177670658141877,0.03907064291355322,17.941483836169564,True
BAC,2017,0.3221871078404479,daily_252,252,,large,0.2870739268840896,0.03511318095635829,12.231407197956978,True
BAC,2018,0.2150440996151039,daily_252,251,,large,0.2830160603976913,-0.06797196078258738,-24.016997723406185,False
BAC,2019,0.2474696940293085,daily_252,251,,large,0.280422858858887,-0.032953164829578524,-11.751240595603887,False
BAC,2020,0.231128623120958,daily_252,252,,large,0.2373166333401154,-0.006188010219157408,-2.6074911530912073,False
BAC,2021,0.584351085104152,daily_252,253,,large,0.3248416105054304,0.2595094745987216,79.88800270844098,True
BAC,2022,0.2549888593256257,daily_252,252,,large,0.3333581613620677,-0.07836930203644199,-23.50903956160334,False
BANC,2017,0.5127905198379239,daily_252,252,,small,0.3614693217033709,0.15132119813455297,41.862805236547906,True
