instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_equity_vol,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_sigmaE_count,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m,m_solver_status,size_dummy,covid_dummy,outlier_a,outlier_m
INDB,2022,25604662255.50936,E_pb,False,25604662255.50936,3421063700.7570896,18675259787.099384,113377000.0,0.2304736589088178,0.1076184147272044,0.2299320562274782,0.24805258,24.554417029754056,1.9399020204987063e-133,ok,1.0,0.049420722,0.063620722,3.503926022,7.775114856,0.872936219,0.851453206,28.70658708,49.25513725,77.5791956,54.2234327,54.2234327,20.07635504,39.65177093,72.59239633,46.18130654,46.18130654,9.867558464,0.00587623,1.334911279,16.11,23.86741,4.52151452,3.207777713,96.79222229,19294.174,113.377,0.033140862,0.0,0.0,0.0141999999999999,113377000.0,INDB,,,INDB,3853489724.34,0.2644418688682893,0.2304736589088178,3853489724.34,113377000.0,0.0141999999999999,1.0,0.2304736589088178,3.0,2021.0,2019.0,3965268147.695502,0.223976750942389,0.0,4.0,converged,16.045830600559775,15.821853849617384,15.821853849617384,1.099603142791483e-56,converged,1,1,other,low_leverage
ISTR,2021,1866220474.984767,E_pb,False,1866220474.984767,533650292.5070863,2003823258.4701948,135656000.0,0.113099872984483,0.0782749682461207,0.1107399834826979,-0.286024127,21.66843549298517,2.0368154997084418e-104,ok,1.0,0.100381597,0.100781597,3.068904929,1.96433395,0.667964194,0.554960797,19.0205481,21.10759287,47.94782943,27.95931394,27.95931394,20.85479836,18.5945613,54.29477499,29.03638982,29.03638982,7.829313314,0.053977335,0.784935261,12.99,19.89734,3.730899694,20.26814951,79.73185049,2513.203,135.656,0.254203927,0.0,0.0,0.0004,135656000.0,ISTR,,,ISTR,190423724.54,0.2958155118144049,0.113099872984483,190423724.54,135656000.0,0.0004,1.0,0.113099872984483,3.0,2020.0,2018.0,326025472.9925312,0.0660589462406414,0.0,7.0,converged,13.312884763688864,13.246825817448224,13.246825817448224,2.353468957232485e-40,converged,0,1,other,other
JPM,2018,2898673727464.06,E_pb,False,2898673727464.06,391918650024.8419,,533627000000.0,0.0338580912204317,0.0584645228051079,0.0376837047985687,0.231383337,55.51371091771874,0.0,ok,0.0,-0.227840396,-0.209740396,1.869559764,5.749096791,1.141126993,0.577758212,79.42625998,86.57218312,79.61549665,80.04651898,43.39404601,83.07976953,90.87151471,78.3867751,82.35306372,44.13705817,14.77965082,0.203477784,1.387652252,16.0,28.38487,2.730851781,55.92181156,41.07138674,2622532.0,533627.0,1.361575929,1.0,0.0,0.0181,533627000000.0,JPM,,,JPM,271294757990.4,0.1850398302813032,0.0116910220916394,271294757990.4,533627000000.0,0.0181,1.0,0.0116910220916394,2.0,2017.0,2016.0,795349995060.6809,0.0039878205328512,0.0,6.0,converged,35.0,35.0,35.0,1.124910706472406e-268,converged,1,0,other,other
KEY,2018,133178032875.552,E_pb,False,133178032875.552,19364678429.035496,,14595000000.0,0.0962262359948281,0.074056558998707,0.0940366183801522,0.26023311,27.338394788997544,7.419126497118258e-165,ok,0.0,-0.370350237,-0.352250237,2.576486093,7.095788442,1.145644505,0.73119519,80.93195868,71.88957183,88.07275253,76.02537651,76.02537651,80.3662947,77.67592804,82.45644617,76.88239394,76.88239394,11.84662959,0.104538976,1.065270864,12.89,24.79542,3.682904765,41.34378676,54.8550281,139613.0,14595.0,0.753691834,0.0,1.0,0.0181,14595000000.0,KEY,,,KEY,16197992727.04,0.243962662395489,0.0962262359948281,16197992727.04,14595000000.0,0.0181,1.0,0.0962262359948281,2.0,2017.0,2016.0,30531199602.89577,0.0510517757841065,0.0,9.0,converged,14.837353344405669,14.786301568621562,14.786301568621562,8.977623582196933e-50,converged,1,0,other,other
LARK,2020,994116960.72843,E_pb,False,994116960.72843,91935006.32713433,910503464.0410558,28022000.0,0.105716224888358,0.0764290562220895,0.1049133154289814,0.068767374,34.8852457110037,6.222757472639931e-267,ok,1.0,-0.005465409,-0.001065409,2.35758793,3.648160891,0.494444871,0.396610858,18.99807322,24.59120496,45.47669385,28.56884745,28.56884745,20.28455285,29.02249162,44.67897697,30.47958755,30.47958755,7.080049227,0.023587006,0.856993686,17.89,19.07046397,2.914145533,23.36003609,76.63996391,1188.027,28.022,0.304802285,0.0,0.0,0.0044,28022000.0,LARK,,,LARK,108714704.0654,0.3213225981386541,0.105716224888358,108714704.0654,28022000.0,0.0044,1.0,0.105716224888358,2.0,2019.0,2018.0,136613678.12095976,0.0841270673751527,0.0,5.0,converged,18.92501296241091,18.84088589503576,18.84088589503576,1.7453696543980693e-79,converged,0,1,other,other
LARK,2021,1374036883.6617498,E_pb,False,1374036883.6617498,136545459.92619863,1095803976.9240303,29054000.0,0.0748066073101034,0.0687016518275258,0.0746801911394503,-0.001065409,51.866802361789055,0.0,ok,1.0,0.076165951,0.076565951,2.010998126,1.662360597,0.421679216,0.358542252,17.43215031,18.68318719,37.5897584,22.79917387,22.79917387,18.99807322,24.59120496,45.47669385,28.56884745,28.56884745,7.19215798,0.021862076,1.057021375,18.91,17.24110489,2.353662977,17.54474322,82.45525678,1328.968,29.054,0.212778953,0.0,0.0,0.0004,29054000.0,LARK,,,LARK,142427589.720625,0.1626960128165117,0.0748066073101034,142427589.720625,29054000.0,0.0004,1.0,0.0748066073101034,3.0,2020.0,2018.0,171469970.4461594,0.0621363918892518,0.0,8.0,converged,28.607751366559324,28.545614974670073,28.545614974670073,1.5920128587340823e-179,converged,0,1,other,other
LARK,2022,1518846064.1189442,E_pb,False,1518846064.1189442,228409215.10256872,1157102773.4428053,68253000.0,0.0427474432767614,0.0606868608191903,0.0435189257211815,0.076565951,74.03815008866798,0.0,ok,1.0,-0.04059271,-0.02639271,4.014438815,5.304381259,0.343736113,0.275805793,15.8938172,19.08752502,36.79981378,22.71534537,22.71534537,17.43215031,18.68318719,37.5897584,22.79917387,22.79917387,7.315129896,0.045415196,1.058714096,13.44,17.57629048,4.895144108,23.00697444,76.99302556,1502.867,68.253,0.298818942,0.0,0.0,0.0141999999999999,68253000.0,LARK,,,LARK,117975445.347452,0.1086003368926086,0.0427474432767614,117975445.347452,68253000.0,0.0141999999999999,1.0,0.0427474432767614,3.0,2021.0,2019.0,185266101.55889848,0.0272211085575771,0.0,5.0,converged,35.0,35.0,35.0,1.124910706472406e-268,converged,0,1,other,other
LARK,2023,1249612265.19964,E_pb,False,1249612265.19964,274797565.90411633,1147981442.7260537,99027000.0,0.0536479047529772,0.0634119761882443,0.0543648545904692,-0.02639271,47.52313626026316,0.0,ok,1.0,0.013018373,0.062518373,4.808179619,5.439572964,0.445783468,0.339066767,14.03688525,15.61989649,50.42072124,25.93089552,25.93089552,15.8938172,19.08752502,36.79981378,22.71534537,22.71534537,7.353512321,0.063410883,0.854351032,13.33,12.66136,5.452595218,26.49023337,73.50976663,1561.672,99.027,0.360363454,0.0,0.0,0.0495,99027000.0,LARK,,,LARK,106155783.830256,0.3182773040946607,0.0536479047529772,106155783.830256,99027000.0,0.0495,1.0,0.0536479047529772,3.0,2022.0,2020.0,200400290.5274484,0.0284183008430781,0.0,9.0,converged,26.561337456552707,26.532919155709628,26.532919155709628,2.021924480688744e-155,converged,0,1,other,other
LCNB,2020,1352111990.233248,E_pb,False,1352111990.233248,,,22000000.0,0.163608949281847,0.0909022373204617,0.1624448901116196,0.029845786,25.55434113568244,2.4566697952668543e-144,ok,1.0,-0.118631415,-0.114231415,-0.114231415,6.230025258,0.890297565,0.890297565,20.85479836,44.23403581,62.86116984,44.83747133,44.83747133,22.06022092,17.60643724,39.41950547,23.17951104,23.17951104,7.465016297,0.012601066,0.784340472,12.91,26.07284,0.0,0.0,100.0,1745.884,22.0,0.0,0.0,0.0,0.0044,22000000.0,LCNB,,,LCNB,208119106.0,0.4320565484540124,0.163608949281847,208119106.0,22000000.0,0.0044,1.0,0.163608949281847,2.0,2019.0,2018.0,230022518.6480409,0.1480296297499521,0.0,4.0,converged,15.95958287249853,15.811553242748577,15.811553242748577,1.295008325252409e-56,converged,0,1,other,zero_cost_debt
LCNB,2021,1924263773.959748,E_pb,False,1924263773.959748,,,10000000.0,0.1168442303890417,0.0792110575972604,0.1166496696817669,-0.114231415,44.096669864649535,0.0,ok,1.0,0.126909194,0.127309194,0.127309194,1.515266,0.771255379,0.771255379,19.0205481,43.24918227,67.30291655,45.90937365,45.90937365,20.85479836,44.23403581,62.86116984,44.83747133,44.83747133,7.551517343,0.005253124,1.016177812,12.64,17.86319,0.0,0.0,100.0,1903.629,10.0,0.0,0.0,0.0,0.0004,10000000.0,LCNB,,,LCNB,242464090.68,0.1954515962575091,0.1168442303890417,242464090.68,10000000.0,0.0004,1.0,0.1168442303890417,3.0,2020.0,2018.0,252460091.4798935,0.112217855528852,0.0,4.0,converged,28.831102661755345,28.718884806226495,28.718884806226495,1.1085217034197685e-181,converged,0,1,other,zero_cost_debt
