year,metric,p10,p25,p50,p75,p90
2016,DD_a,9.790407947157062,11.161703031134099,13.084508446679465,15.147648108250245,18.107118671911948
2017,DD_a,8.812867721215934,10.182652832614489,12.274538154086274,14.78440361905719,17.406708320930036
2018,DD_a,8.874889445712515,10.493214584766147,12.210075745963557,14.917299538743059,18.541828979329548
2019,DD_a,7.706350112700741,9.222354449893608,11.874427453697619,14.785628334119412,18.330070249101322
2020,DD_a,9.007549472898752,10.955404824839047,13.502497358920266,17.318781149729645,20.837078382292383
2021,DD_a,3.322578676308312,4.127033573437602,4.966857135765132,6.257675779948386,7.454420213417322
2022,DD_a,7.941866595073013,9.09675694975943,10.863442503828926,13.258064266593822,16.23690426326004
2023,DD_a,7.1630413181854005,8.935383840121684,10.805247676736952,14.077340865203436,17.354950413560434
overall,DD_a,5.391004817640598,8.547141121971446,11.238609806896324,14.281865202467088,17.737169629337348
2016,PD_a,1.4730888097003354e-73,4.0060358782002665e-52,3.046743206198688e-38,4.0323066340133447e-29,6.984710976334591e-23
2017,PD_a,3.6691911229816113e-68,1.3490068537135018e-49,6.204895897128626e-35,1.3644836186295709e-24,6.099222828444993e-19
2018,PD_a,1.0651587321570483e-73,1.2718052040146951e-50,1.3731668748674185e-34,4.6407890232963907e-26,4.2889934861077073e-19
2019,PD_a,2.381447365329055e-75,9.067846086360684e-50,8.036536307618177e-33,1.453234407646622e-20,6.473356810187497e-15
2020,PD_a,1.1336467507075424e-96,1.7079484894436468e-67,8.23653393867155e-42,3.129971215141567e-28,1.1542829679944306e-19
2021,PD_a,4.513194000627557e-14,1.953785571717277e-10,3.402333952426574e-07,1.8373638078834665e-05,0.0004459475779395899
2022,PD_a,3.701850250456334e-59,2.026104181702146e-40,8.606762036696134e-28,4.653466484199096e-20,9.980552322779605e-16
2023,PD_a,1.6627451591668416e-67,2.628580438493943e-45,1.625392649153495e-27,2.1143794222708636e-19,3.996833117364557e-13
overall,PD_a,1.2136450950290607e-70,1.4264433530872395e-46,1.3175316207373527e-29,6.309153748571919e-18,3.508941290573236e-08
