instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_equity_vol,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_sigmaE_count,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m,m_solver_status,size_dummy,covid_dummy,outlier_a,outlier_m
ALRS,2020,4195141354.64844,E_pb,False,4195141354.64844,335531388.1173171,2564800849.647486,58735000.0,0.191261164647664,0.097815291161916,0.1899709194873438,0.044898351,22.684545697298734,3.183042458053823e-114,insufficient_returns,1.0,-0.015796487,-0.011396487,1.81125748,5.538694633,0.861756247,0.766357457,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,22.06022092,39.43171869,75.21277725,46.89042848,46.89042848,8.010947398,0.019488873,1.41965829,16.79,28.88722,2.560659561,14.89728816,85.10271184,3013.771,58.735,0.175050687,0.0,0.0,0.0044,58735000.0,ALRS,,,ALRS,694259209.0,0.3316553991696805,,694259209.0,58735000.0,0.0044,1.0,,0.0,2019.0,2019.0,,,,,no_sigma_E,,,,,no_sigma_E,0,1,other,
ALRS,2021,4674870866.014622,E_pb,False,4674870866.014622,513915729.2440479,3043660884.3977866,58933000.0,0.191261164647664,0.097815291161916,0.1900978199426431,-0.011396487,22.91776979148782,1.5450226846369263e-116,insufficient_returns,1.0,0.072837546,0.073237546,1.706068707,1.581584816,0.670397237,0.616689287,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,20.85479836,34.75793799,75.9055673,44.83330989,44.83330989,8.129378691,0.017370577,1.402282609,18.64,24.05389,2.159907368,10.28770718,89.71229282,3392.691,58.933,0.114674443,0.0,0.0,0.0004,58933000.0,ALRS,,,ALRS,742707696.0,0.2905303940708307,,742707696.0,58933000.0,0.0004,1.0,,1.0,2020.0,2020.0,,,,,no_sigma_E,,,,,no_sigma_E,0,1,other,
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.059845298653466,0.0649613246633665,0.0603100823918677,0.073237546,40.95467661526021,0.0,ok,1.0,-0.072396417,-0.058196417,3.368981311,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0.0,0.0,0.0141999999999999,436923000.0,ALRS,,,ALRS,592289095.0,0.1538109001402423,0.059845298653466,592289095.0,436923000.0,0.0141999999999999,1.0,0.059845298653466,2.0,2021.0,2020.0,1023051631.2112694,0.0346470471939197,0.0,8.0,converged,24.98303711043265,24.94839006323873,24.94839006323873,1.1115176298418798e-137,converged,0,1,other,other
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.0666183653603811,0.0666545913400952,0.06662130123127,-0.058196417,36.81040053656623,6.293536652802008e-297,ok,1.0,-0.048601476,0.000898524,3.38636152,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0.0,0.0,0.0495,373126000.0,ALRS,,,ALRS,567938023.0,0.4249627806757212,0.0666183653603811,567938023.0,373126000.0,0.0495,1.0,0.0666183653603811,3.0,2022.0,2020.0,923043961.8352135,0.0409894916633221,0.0,5.0,converged,23.325509267485383,23.284519775822066,23.284519775822066,3.1810688702311555e-120,converged,0,1,other,other
AROW,2017,4769586053.469014,E_pb,False,4769586053.469014,1438097028.124581,2358685590.474387,244966000.0,0.191261164647664,0.097815291161916,0.1866962380898723,0.044898351,16.317685825759398,3.6941893812899573e-60,insufficient_returns,0.0,0.1158279,0.1238279,1.446312422,5.013335612,0.619601145,0.553659664,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.23117591,7.923154423,0.088740846,1.896079487,15.0,30.08052,1.917215905,14.55477282,85.44522718,2760.465,244.966,0.170340384,0.0,0.0,0.008,244966000.0,AROW,,,AROW,468535590.2864,0.1748166030339055,,468535590.2864,244966000.0,0.008,1.0,,0.0,2016.0,2016.0,,,,,no_sigma_E,,,,,no_sigma_E,0,0,other,
AROW,2018,4530566669.11395,E_pb,False,4530566669.11395,2289691431.8392067,2588518976.451369,353659000.0,0.191261164647664,0.097815291161916,0.1844948978103064,0.1238279,14.809307014345254,6.377424688491391e-50,insufficient_returns,0.0,-0.15814885,-0.14004885,1.635243053,6.05340398,0.622665674,0.561684289,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,8.00247132,0.118346544,1.719592234,14.9,29.7094,2.498989189,13.37919468,86.62080532,2988.334,353.659,0.154457057,0.0,0.0,0.0181,353659000.0,AROW,,,AROW,455157045.8032,0.1658637884030255,,455157045.8032,353659000.0,0.0181,1.0,,1.0,2017.0,2017.0,,,,,no_sigma_E,,,,,no_sigma_E,0,0,other,
AROW,2019,5539087313.821926,E_pb,False,5539087313.821926,1202676685.1848538,2661274705.0416527,236353000.0,0.1865890393224673,0.0966472598306168,0.1829082793711676,-0.14004885,16.616343274454913,2.653631194155672e-62,ok,0.0,0.066134827,0.087534827,1.285904064,4.732924173,0.594509045,0.522352876,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,8.065979913,0.074225059,1.878980283,14.8,29.7094,1.725332219,16.42447009,83.57552991,3184.275,236.353,0.196522476,0.0,0.0,0.0214,236353000.0,AROW,,,AROW,553437861.392,0.2072943232518679,0.1865890393224673,553437861.392,236353000.0,0.0214,1.0,0.1865890393224673,2.0,2018.0,2017.0,784786643.3017628,0.1315840932872272,0.0,5.0,converged,9.34871833472479,9.217134241437565,9.217134241437565,1.52573198470498e-20,converged,0,0,other,
AROW,2020,4997506647.55713,E_pb,False,4997506647.55713,343667096.45528054,2938689617.8227844,87703000.0,0.1430282351933737,0.0857570587983434,0.142040497355311,0.087534827,29.129597421391164,7.574755608317731e-187,ok,1.0,-0.179781542,-0.175381542,0.698529107,3.987268628,0.633919553,0.536885399,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,8.213012021,0.02377654,1.38783661,15.5,29.17827,1.183610401,20.3312656,79.6687344,3688.636,87.703,0.255197547,0.0,0.0,0.0044,87703000.0,AROW,,,AROW,451056148.114,0.2660258840762802,0.1430282351933737,451056148.114,87703000.0,0.0044,1.0,0.1430282351933737,3.0,2019.0,2017.0,538374102.6445484,0.1198307391409105,0.0,7.0,converged,15.239639564795768,15.119808825654856,15.119808825654856,5.994507659638052e-52,converged,0,1,other,other
AROW,2021,6025606149.181461,E_pb,False,6025606149.181461,1439854214.1708708,3840777815.084661,70169000.0,0.14269299576886,0.085673248942215,0.1420366364844109,-0.175381542,30.12586016192352,1.1110293773245337e-199,ok,1.0,0.230513245,0.230913245,1.895743907,1.543761519,0.662189186,0.637723954,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,8.301013337,0.017420515,1.522470067,15.7,21.27914,2.128484023,4.646882214,95.35311779,4027.952,70.169,0.048733406,0.0,0.0,0.0004,70169000.0,AROW,,,AROW,565115143.0334799,0.1453358316772399,0.14269299576886,565115143.0334799,70169000.0,0.0004,1.0,0.14269299576886,3.0,2020.0,2018.0,635256081.0465798,0.1269377424546522,0.0,5.0,converged,17.422542178884395,17.295604436429745,17.295604436429745,2.538385997146942e-67,converged,0,1,other,low_leverage
AROW,2022,6173197402.58115,E_pb,False,6173197402.58115,1514340694.0079827,3770520599.329345,79919000.0,0.2060573713717056,0.1015143428429264,0.2047212417110547,0.230913245,22.321960508465704,1.1307637419567865e-110,ok,1.0,0.059101412,0.073301412,3.464948814,6.812876327,0.670815154,0.644057921,15.8938172,25.42706308,46.86126629,29.48187915,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,8.286397688,0.020133221,1.587107485,15.1,21.27914,4.313115919,5.012922273,94.98707773,3969.509,79.919,0.052774782,0.0,0.0,0.0141999999999999,79919000.0,AROW,,,AROW,561100620.940994,0.2802803159657703,0.2060573713717056,561100620.940994,79919000.0,0.0141999999999999,1.0,0.2060573713717056,3.0,2021.0,2019.0,639892790.5726784,0.1806848288190879,0.0,6.0,converged,11.682278713272725,11.501593884453635,11.501593884453635,6.475081819488301e-31,converged,0,1,other,
ASB,2017,33315540393.295376,E_pb,False,33315540393.295376,14312299281.082872,,4073732000.0,0.191261164647664,0.097815291161916,0.1810798099242405,0.318896117,13.912790528762482,2.648585413089363e-44,insufficient_returns,0.0,0.186351273,0.194351273,1.828800619,7.019117242,1.182026603,0.986122367,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,10.32494392,0.133636867,1.261481048,13.22,30.20409,2.410563459,21.42974031,75.28940467,30483.594,4073.732,0.284631555,0.0,0.0,0.008,4073732000.0,ASB,,,ASB,4211574000.0,0.1949956441283363,,4211574000.0,4073732000.0,0.008,1.0,,1.0,2016.0,2016.0,,,,,no_sigma_E,,,,,no_sigma_E,1,0,other,
