year,metric,p10,p25,p50,p75,p90
2016,DD_a,11.396469819664615,12.900317992904178,15.904340076305278,18.37560756926292,21.39759828512289
2017,DD_a,11.700396590622168,13.585627607794128,16.07296767514123,20.06490350294858,23.278789219315243
2018,DD_a,11.906341666636704,14.30881630744282,19.74253905908451,37.95982177897587,69.73186930798937
2019,DD_a,5.756892223108052,7.714240189220912,11.570772346126128,17.324584037864057,21.724731201155873
2020,DD_a,8.832194690729064,11.584795919157838,15.728684078907941,22.057548331359598,29.737296337795424
2021,DD_a,13.097018940295301,16.846336951267194,21.812298080052045,28.5259910928578,40.52660945022398
2022,DD_a,10.619378472719792,12.979595646465453,17.362542939290783,23.393904757883867,34.05119610441519
2023,DD_a,9.045690053750164,10.997184400074577,15.666134459872906,20.615259728085736,31.5952146411987
overall,DD_a,9.230127888346447,12.29741607780326,16.63788213134841,23.08885332517678,34.607480973479674
2016,PD_a,1.830083684782436e-101,1.0299421564890324e-75,2.956150910114633e-57,2.2412183492623753e-38,2.214766887174541e-30
2017,PD_a,2.0640375906640685e-119,8.603305473774021e-90,2.4931006275026187e-58,2.595826168696571e-42,6.664492212581617e-32
2018,PD_a,0.0,0.0,6.028524288658501e-87,1.2215451274345034e-46,5.7942164715617345e-33
2019,PD_a,2.877825998899378e-103,1.7042672979894308e-67,3.0126983349542633e-31,6.1117108149309154e-15,4.2838633232714295e-09
2020,PD_a,3.933854026656345e-191,4.5531519039941034e-108,4.8094708646732915e-56,7.112541944657088e-31,5.178743096071461e-19
2021,PD_a,0.0,1.1756320368607485e-176,1.0202983836650628e-104,5.7323873006301765e-64,1.4683945387513698e-37
2022,PD_a,1.793448250144546e-240,8.486237771929562e-121,1.0604935657537572e-67,1.0286240936670392e-38,1.2909455262273288e-26
2023,PD_a,5.349425928009374e-214,1.0012232435861049e-94,1.288942296817945e-55,1.9712504227664923e-28,7.620266620905888e-20
overall,PD_a,1.7446358354729128e-262,3.0111154841542353e-118,1.852458662105814e-62,4.676337392572624e-35,1.3530782364934538e-20
