year,metric,p10,p25,p50,p75,p90
2018,DD_m,14.554601831113722,20.053649745377818,28.006773919199965,35.0,35.0
2019,DD_m,3.815041253544361,4.837973963767717,6.162149352779147,7.893288768427377,11.521869350010293
2020,DD_m,5.211993949627533,6.132569429006247,8.6781838363734,12.710861894379702,17.807932941771128
2021,DD_m,7.786231085661063,9.776911764843177,12.926126140515906,17.404324288099264,25.686238611093398
2022,DD_m,5.444039611842099,6.4839846183381145,8.940422185957548,12.820234968098083,17.551030926452675
2023,DD_m,5.19157247615598,6.372584567047632,8.786209394639203,12.250243395017796,17.811177659273756
2018,PD_m,1.1249107064724062e-268,1.1249107064724062e-268,6.835363013175737e-171,1.037945029749176e-89,2.7976326428457775e-47
2019,PD_m,5.118287288015381e-31,1.4716276281987665e-15,3.588205773088702e-10,6.558465924683801e-07,6.80800924020052e-05
2020,PD_m,3.14597175796238e-71,2.5732032234580324e-37,2.0106932915792824e-18,4.323547538130076e-10,9.341083340871838e-08
2021,PD_m,8.033338581410165e-140,5.866126178751842e-68,1.546965822201305e-37,7.073965093486068e-23,3.908301956902776e-15
2022,PD_m,6.456213495486067e-67,6.318675935901654e-38,1.9403770011290513e-19,6.04859901798297e-11,2.722239768275912e-08
2023,PD_m,1.351017543112982e-69,3.722682053292251e-34,7.779609264035094e-19,9.533156190370032e-11,1.0428411173977899e-07
overall,DD_m,5.138635408746878,6.449779120285274,9.538565749108837,15.106818683973579,24.36868856554828
overall,PD_m,1.3438139553717498e-126,7.6856995808435e-52,7.245796543445609e-22,5.601987323433703e-11,1.3840453827357678e-07
