instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m,status,size_dummy,covid_dummy,DD_a_wins,DD_m_wins,DD_a_wins_5_95,DD_m_wins_5_95
WABC,2018,0.0,-0.1496792,-0.1315792,1.830093115,8.69143633,0.992858695,0.964414947,21.58687943,9.819467685,71.2158561,30.50816417,30.50816417,22.15799615,12.91271383,63.46259437,29.25124004,29.25124004,8.624885666,0.009202974,2.417719557,17.03,23.37098,2.553596191,3.706192566,96.29380743,5568.526,51.247,0.038488379,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2018_small,0,0,,35.0,,35.0
WABC,2019,0.0,0.045513064,0.066913064,1.155093264,7.252788114,0.95876675,0.939186113,20.28455285,8.63625925,74.62273161,31.14776797,31.14776797,21.58687943,9.819467685,71.2158561,30.50816417,30.50816417,8.634007758,0.005503639,2.507450251,16.83,23.37098,1.422375609,2.64864584,97.35135416,5619.555,30.928,0.027207078,0.0,0.0,,,24.091885291901896,1.5202796560144652e-128,extreme_DD_a_y2019_small,0,0,,24.091885291901896,,24.091885291901896
BHB,2017,0.0,0.134513681,0.142513681,1.667090536,5.715397779,0.777567838,0.690811662,22.15799615,39.66854724,63.34134065,42.47848207,42.47848207,21.15270351,27.22938214,51.90557452,32.19178037,32.19178037,8.178970944,0.232728802,1.176156821,13.73,28.25284,2.154519248,14.89647678,85.10352322,3565.184,829.721,0.175039484,0.0,0.0,,,,,extreme_DD_a_y2017_small,0,0,,,,
FBIZ,2021,1.0,0.266149595,0.266549595,2.649509365,1.692058568,0.937102496,0.797707872,43.64390868,57.38757813,71.85661284,56.04373291,56.04373291,18.99807322,58.9098543,60.87336254,51.13369824,51.13369824,7.883410545,0.155877048,1.06146209,10.82,7.65266,2.62635835,15.91159978,84.08840022,2652.905,413.527,0.18922467,0.0,0.0,,,5.3857878013912615,3.6064009464415576e-08,extreme_DD_a_y2021_small,0,1,,5.3857878013912615,,5.3857878013912615
BMRC,2017,0.0,0.135517489,0.143517489,1.545370691,6.24680313,0.770158287,0.763619462,24.17324669,48.94157876,70.89338824,50.08683891,50.08683891,23.24383959,46.69594949,73.61916951,49.96521557,49.96521557,7.811225782,0.00232522,1.584596771,14.91,36.58443,2.213597204,1.332299379,98.66770062,2468.154,5.739,0.013502893,0.0,0.0,,,,,extreme_DD_a_y2017_small,0,0,,,,
BMRC,2021,1.0,0.213793838,0.214193838,1.793018694,1.515703803,0.755582651,0.755174387,19.0205481,33.68672278,61.27923766,38.99786934,38.99786934,20.85479836,35.41537054,70.09262056,43.06673561,43.06673561,8.369669273,9.71e-05,1.316802519,14.58,25.48846,2.119108198,0.072502878,99.92749712,4314.209,0.419,0.000725555,0.0,0.0,,,,,debt_too_low,0,1,,,,
EXSR,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
FCBC,2019,0.0,-0.019526859,0.001873141,0.845308819,5.213001653,0.577687123,0.576257425,20.28455285,30.14818412,14.66518094,20.23296446,20.23296446,21.58687943,29.63436988,8.801909838,17.867335,17.867335,7.936962826,0.000572021,1.329358682,15.21,32.5911,1.251233216,0.366703312,99.63329669,2798.847,1.601,0.00368053,0.0,0.0,,,,,extreme_DD_a_y2019_small,0,0,,,,
FCBC,2020,1.0,-0.222420156,-0.218020156,0.110808157,4.247138602,0.559326921,0.558186912,18.99807322,42.05810782,9.957716702,24.44559949,24.44559949,20.28455285,30.14818412,14.66518094,20.23296446,20.23296446,8.010072695,0.000320145,0.896238139,15.53,31.68342,0.480378963,0.298061457,99.70193854,3011.136,0.964,0.002989525,0.0,0.0,,,,,debt_too_low,0,1,,,,
RRBI,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
RRBI,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
RRBI,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
RRBI,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
PDLB,2022,1.0,0.101079942,0.115279942,0.057833081,2.756118341,0.358206004,0.358206004,18.32180562,27.5418667,25.0960424,23.04497148,23.04497148,19.0205481,24.46135407,31.89238618,23.84281992,23.84281992,7.745863472,0.223779179,0.86548065,33.72,26.39924,0.0,0.0,50.16751396,2311.989,517.375,0.0,0.0,0.0,,,3.910745111413667,4.6005916067000655e-05,extreme_DD_a_y2022_small,0,1,,3.910745111413667,,3.925401281033244
