year,metric,p10,p25,p50,p75,p90
2018,DD_m,16.00404877090201,20.98398642457975,28.334724191629167,35.0,35.0
2019,DD_m,3.759167972162561,4.776249630653716,6.073298235900676,7.869729092599387,11.43302920884713
2020,DD_m,5.080905808919732,6.127311718119122,8.609304379066295,12.72692101001915,17.813048974230565
2021,DD_m,7.7201446959108235,9.901449939820825,13.155608911898403,17.320712027553334,25.055093197932777
2022,DD_m,5.411489261545052,6.740805167032265,8.945402301029938,12.818901236524788,19.03044974220796
2023,DD_m,5.190737237854268,6.2757819197773586,8.439748159953687,12.173556712067263,17.289750417002544
2018,PD_m,1.1249107064724062e-268,1.1249107064724062e-268,6.455907903370312e-177,4.593028300692709e-98,1.7955247167829961e-50
2019,PD_m,4.9308682620890606e-30,1.8834071792987647e-15,6.306726144900304e-10,8.946945087963838e-07,8.606633688323909e-05
2020,PD_m,2.850109059135449e-71,2.139380257993737e-37,3.675262050171803e-18,4.471191254744956e-10,1.9201213146559263e-07
2021,PD_m,2.364413195646282e-137,1.641353472698954e-67,7.900272358245863e-40,2.0514149638190245e-23,6.221252506084162e-15
2022,PD_m,1.1697261110785232e-72,6.429213446947752e-38,1.852986810067271e-19,7.877493007873334e-12,3.2051092644030937e-08
2023,PD_m,4.461284551902475e-66,7.121007039362357e-34,1.5901106102527016e-17,1.7605139545035976e-10,1.0475603816912632e-07
overall,DD_m,5.111424285955269,6.43615342529236,9.534795345253558,15.071977911785014,24.600333429382335
overall,PD_m,7.061398502683198e-134,1.2379418477846043e-51,7.509074554178408e-22,6.126958675332639e-11,1.5986950189598886e-07
