year,count,DDm_min,DDm_p10,DDm_p25,DDm_median,DDm_p75,DDm_p90,DDm_max,PDm_min,PDm_p10,PDm_p25,PDm_median,PDm_p75,PDm_p90,PDm_max
2016,69,3.074675450492106,4.708779004855798,5.7011671084121565,7.3707299156258275,9.058762602270548,11.861329469853827,18.98385006189491,1.1597945660767372e-80,2.3598131505986478e-32,6.596937356170454e-20,8.484816409796513e-14,5.949495858237667e-09,1.2497281942282208e-06,0.0010536586634743294
2017,138,3.4917434873449986,6.365978363176272,7.483663005692513,9.075938416148489,11.68545496003486,14.085294979198721,49.9070569518746,0.0,2.7213415136984236e-45,7.715140205379987e-32,6.9874127841354e-20,3.6139928051501e-14,1.1417417226995879e-10,0.00023993943008405444
2018,196,2.3605378641202965,5.525113473329495,6.530569947238965,7.917572618767896,10.07592215942324,12.909806523464036,36.68728958841483,5.823394125875311e-295,2.5755916238700226e-38,3.5425914212085715e-24,1.2463791000751078e-15,3.3003367050756533e-11,1.6530962012893852e-08,0.009124227660068275
2019,211,1.9820650636840953,5.059485510357534,6.360448290783319,8.016265845838237,10.781303102616079,15.498051098830363,39.63140396347353,0.0,1.7878742941517317e-54,2.1229517398992027e-27,5.450421853956523e-16,1.0072053667838796e-10,2.101946100212594e-07,0.023735979531171604
2020,214,-0.11129181953638018,2.338054446002883,3.016302601111971,4.091833889100745,5.276579636323447,8.037094958604541,21.41076369521051,5.30302038642345e-102,4.660216729293748e-16,6.689802770672378e-08,2.1434000419141523e-05,0.0012797601316706804,0.009693135475306664,0.5443075289137894
2021,210,2.97680926542846,6.037150609354931,7.1243748191498035,8.768568446353175,11.824023246442783,15.303241697884747,47.453319034466645,0.0,5.393552117377952e-53,1.4786720231557884e-32,9.090361278088182e-19,5.267009273452666e-13,8.56061165079116e-10,0.001456325760325706
2022,213,2.879934940746498,4.081405481780067,5.078757557469397,6.673952125059776,8.64647793439444,11.043907145766605,32.59325852510236,2.5551039010772718e-233,1.3143807281690139e-28,2.6556652215938503e-18,1.2450243852125033e-11,1.8995557193231383e-07,2.2473921006408298e-05,0.0019887862042479287
2023,153,1.3551674582606847,2.3954847742774255,3.1377547037053732,4.131158338786547,5.425459241504253,6.968881783344821,35.461502698425775,9.64287208632876e-276,1.598143617297524e-12,2.890286002322565e-08,1.804699246682082e-05,0.000851236433673245,0.00830248649854616,0.08768210503906881
overall,1404,-0.11129181953638018,3.4136694195688277,4.970847079498074,7.050457053885878,9.50581232190531,12.906551227043403,49.9070569518746,0.0,2.311745363678147e-38,9.927010341817103e-22,8.91723975538121e-13,3.3331681128518815e-07,0.0003204752354187435,0.5443075289137894
